#Data Set Export - PC.Working2@3A20P,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (cm),Grade Code,Approval Level,Interpolation Type
2018-12-10 23:00:00,41.699999999999996,-1,800,1
2018-12-11 00:00:00,41.8,-1,800,1
2018-12-11 01:00:00,41.8,-1,800,1
2018-12-11 02:00:00,41.8,-1,800,1
2018-12-11 03:00:00,41.8,-1,800,1
2018-12-11 04:00:00,41.8,-1,800,1
2018-12-11 05:00:00,41.8,-1,800,1
2018-12-11 06:00:00,41.8,-1,800,1
2018-12-11 07:00:00,41.9,-1,800,1
2018-12-11 08:00:00,42,-1,800,1
2018-12-11 09:00:00,42.199999999999996,-1,800,1
2018-12-11 10:00:00,42.5,-1,800,1
2018-12-11 11:00:00,42.9,-1,800,1
2018-12-11 12:00:00,43.699999999999996,-1,800,1
2018-12-11 13:00:00,44,-1,800,1
2018-12-11 14:00:00,44.3,-1,800,1
2018-12-11 15:00:00,44.5,-1,800,1
2018-12-11 16:00:00,44.8,-1,800,1
2018-12-11 17:00:00,45.2,-1,800,1
2018-12-11 18:00:00,45.6,-1,800,1
2018-12-11 19:00:00,46,-1,800,1
2018-12-11 20:00:00,46.5,-1,800,1
2018-12-11 21:00:00,46.9,-1,800,1
2018-12-11 22:00:00,47.1,-1,800,1
2018-12-11 23:00:00,47.2,-1,800,1
2018-12-12 00:00:00,47.400000000000006,-1,800,1
2018-12-12 01:00:00,47.7,-1,800,1
2018-12-12 02:00:00,48.199999999999996,-1,800,1
2018-12-12 03:00:00,48.3,-1,800,1
2018-12-12 04:00:00,48.3,-1,800,1
2018-12-12 05:00:00,48.3,-1,800,1
2018-12-12 06:00:00,48.3,-1,800,1
2018-12-12 07:00:00,48.3,-1,800,1
2018-12-12 08:00:00,48.3,-1,800,1
2018-12-12 09:00:00,48.3,-1,800,1
2018-12-12 10:00:00,48.3,-1,800,1
2018-12-12 11:00:00,48.3,-1,800,1
2018-12-12 12:00:00,48.3,-1,800,1
2018-12-12 13:00:00,48.3,-1,800,1
2018-12-12 14:00:00,48.3,-1,800,1
2018-12-12 15:00:00,48.3,-1,800,1
2018-12-12 16:00:00,48.3,-1,800,1
2018-12-12 17:00:00,48.3,-1,800,1
2018-12-12 18:00:00,48.3,-1,800,1
2018-12-12 19:00:00,48.199999999999996,-1,800,1
