#Data Set Export - PC.Working@1E14P,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (mm),Grade Code,Approval Level,Interpolation Type
2003-10-04 09:49:09,279,-1,800,1
2003-10-04 10:49:09,279,-1,800,1
2003-10-04 11:49:09,280,-1,800,1
2003-10-04 12:49:09,278,-1,800,1
2003-10-04 13:49:09,280,-1,800,1
2003-10-04 14:49:09,279,-1,800,1
2003-10-04 15:49:09,281,-1,800,1
2003-10-04 16:49:09,282,-1,800,1
2003-10-04 17:49:09,281,-1,800,1
2003-10-04 18:49:09,281,-1,800,1
2003-10-04 19:49:09,281,-1,800,1
2003-10-04 20:49:09,281,-1,800,1
2003-10-04 21:49:09,281,-1,800,1
2003-10-04 22:49:09,281,-1,800,1
2003-10-04 23:49:09,281,-1,800,1
2003-10-05 00:49:09,281,-1,800,1
2003-10-05 01:49:09,281,-1,800,1
2003-10-05 02:49:09,281,-1,800,1
2003-10-05 03:49:09,281,-1,800,1
2003-10-05 04:49:09,281,-1,800,1
2003-10-05 05:49:09,281,-1,800,1
2003-10-05 06:49:09,281,-1,800,1
2003-10-05 07:49:09,281,-1,800,1
2003-10-05 08:49:09,281,-1,800,1
2003-10-05 09:49:09,280,-1,800,1
2003-10-05 10:49:09,280,-1,800,1
2003-10-05 11:49:09,279,-1,800,1
2003-10-05 12:49:09,279,-1,800,1
2003-10-05 13:49:09,279,-1,800,1
2003-10-05 14:49:09,279,-1,800,1
2003-10-05 15:49:09,281,-1,800,1
2003-10-05 16:49:09,281,-1,800,1
2003-10-05 17:49:09,281,-1,800,1
2003-10-05 18:49:09,281,-1,800,1
2003-10-05 19:49:09,281,-1,800,1
2003-10-05 20:49:09,281,-1,800,1
2003-10-05 21:49:09,281,-1,800,1
2003-10-05 22:49:09,281,-1,800,1
2003-10-05 23:49:09,281,-1,800,1
2003-10-06 00:49:09,281,-1,800,1
2003-10-06 01:49:09,281,-1,800,1
2003-10-06 02:49:09,281,-1,800,1
2003-10-06 03:49:09,281,-1,800,1
2003-10-06 04:49:09,281,-1,800,1
2003-10-06 05:49:09,281,-1,800,1
2003-10-06 06:49:09,281,-1,800,1
2003-10-06 07:49:09,281,-1,800,1
2003-10-06 08:49:09,281,-1,800,1
2003-10-06 09:49:09,281,-1,800,1
2003-10-06 10:49:09,281,-1,800,1
2003-10-06 11:49:09,280,-1,800,1
2003-10-06 12:49:09,281,-1,800,1
2003-10-06 13:49:09,281,-1,800,1
2003-10-06 14:49:09,281,-1,800,1
2003-10-06 15:49:09,281,-1,800,1
2003-10-06 16:49:09,281,-1,800,1
2003-10-06 17:49:09,281,-1,800,1
2003-10-06 18:49:09,281,-1,800,1
2003-10-06 19:49:09,281,-1,800,1
