#Data Set Export - PC.Working@2B10P,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (mm),Grade Code,Approval Level,Interpolation Type
2019-05-14 16:00:00,169.4,-1,800,1
2019-05-14 17:00:00,169.4,-1,800,1
2019-05-14 18:00:00,169.5,-1,800,1
2019-05-14 19:00:00,169.7,-1,800,1
2019-05-14 20:00:00,169.8,-1,800,1
2019-05-14 21:00:00,169.8,-1,800,1
2019-05-14 22:00:00,169.8,-1,800,1
2019-05-14 23:00:00,169.8,-1,800,1
2019-05-15 00:00:00,169.9,-1,800,1
2019-05-15 01:00:00,169.8,-1,800,1
2019-05-15 02:00:00,170.3,-1,800,1
2019-05-15 03:00:00,170.4,-1,800,1
2019-05-15 04:00:00,171,-1,800,1
2019-05-15 05:00:00,173.1,-1,800,1
2019-05-15 06:00:00,173.1,-1,800,1
2019-05-15 07:00:00,173.3,-1,800,1
2019-05-15 08:00:00,173.3,-1,800,1
2019-05-15 09:00:00,173.3,-1,800,1
2019-05-15 10:00:00,173.1,-1,800,1
2019-05-15 11:00:00,173.2,-1,800,1
2019-05-15 12:00:00,173.1,-1,800,1
2019-05-15 13:00:00,173.1,-1,800,1
2019-05-15 14:00:00,173.3,-1,800,1
2019-05-15 15:00:00,173.3,-1,800,1
2019-05-15 16:00:00,173.4,-1,800,1
2019-05-15 17:00:00,173.5,-1,800,1
2019-05-15 18:00:00,173.5,-1,800,1
2019-05-15 19:00:00,173.5,-1,800,1
2019-05-15 20:00:00,173.5,-1,800,1
2019-05-15 21:00:00,173.9,-1,800,1
2019-05-15 22:00:00,173.8,-1,800,1
2019-05-15 23:00:00,174,-1,800,1
2019-05-16 00:00:00,174,-1,800,1
2019-05-16 01:00:00,173.9,-1,800,1
2019-05-16 02:00:00,173.9,-1,800,1
2019-05-16 03:00:00,173.9,-1,800,1
2019-05-16 04:00:00,173.8,-1,800,1
2019-05-16 05:00:00,173.6,-1,800,1
2019-05-16 06:00:00,173.8,-1,800,1
2019-05-16 07:00:00,173.7,-1,800,1
2019-05-16 08:00:00,173.7,-1,800,1
2019-05-16 09:00:00,173.5,-1,800,1
2019-05-16 10:00:00,173.6,-1,800,1
2019-05-16 11:00:00,173.5,-1,800,1
2019-05-16 12:00:00,173.6,-1,800,1
2019-05-16 13:00:00,173.6,-1,800,1
2019-05-16 14:00:00,173.7,-1,800,1
2019-05-16 15:00:00,173.6,-1,800,1
2019-05-16 16:00:00,173.7,-1,800,1
2019-05-16 17:00:00,173.8,-1,800,1
2019-05-16 18:00:00,173.6,-1,800,1
2019-05-16 19:00:00,173.7,-1,800,1
2019-05-16 20:00:00,173.8,-1,800,1
2019-05-16 21:00:00,173.9,-1,800,1
2019-05-16 22:00:00,174,-1,800,1
2019-05-16 23:00:00,174.2,-1,800,1
2019-05-17 00:00:00,174.3,-1,800,1
2019-05-17 01:00:00,174.1,-1,800,1
2019-05-17 02:00:00,174,-1,800,1
2019-05-17 03:00:00,174,-1,800,1
2019-05-17 04:00:00,174,-1,800,1
2019-05-17 05:00:00,174,-1,800,1
2019-05-17 06:00:00,174,-1,800,1
2019-05-17 07:00:00,173.8,-1,800,1
2019-05-17 08:00:00,173.8,-1,800,1
2019-05-17 09:00:00,174,-1,800,1
2019-05-17 10:00:00,174.1,-1,800,1
2019-05-17 11:00:00,174.3,-1,800,1
2019-05-17 12:00:00,174.6,-1,800,1
2019-05-17 13:00:00,174.7,-1,800,1
2019-05-17 14:00:00,175,-1,800,1
2019-05-17 15:00:00,174.8,-1,800,1
2019-05-17 16:00:00,175,-1,800,1
2019-05-17 17:00:00,175.1,-1,800,1
2019-05-17 18:00:00,175.1,-1,800,1
2019-05-17 19:00:00,175.2,-1,800,1
2019-05-17 20:00:00,175.2,-1,800,1
2019-05-17 21:00:00,175.1,-1,800,1
2019-05-17 22:00:00,175.7,-1,800,1
2019-05-17 23:00:00,176,-1,800,1
2019-05-18 00:00:00,176.2,-1,800,1
2019-05-18 01:00:00,176.3,-1,800,1
2019-05-18 02:00:00,176.7,-1,800,1
2019-05-18 03:00:00,176.9,-1,800,1
2019-05-18 04:00:00,177.1,-1,800,1
2019-05-18 05:00:00,177.5,-1,800,1
2019-05-18 06:00:00,177.6,-1,800,1
2019-05-18 07:00:00,177.4,-1,800,1
2019-05-18 08:00:00,177.5,-1,800,1
2019-05-18 09:00:00,177.5,-1,800,1
2019-05-18 10:00:00,177.4,-1,800,1
2019-05-18 11:00:00,177.7,-1,800,1
2019-05-18 12:00:00,177.8,-1,800,1
2019-05-18 13:00:00,178,-1,800,1
2019-05-18 14:00:00,177.9,-1,800,1
2019-05-18 15:00:00,178.2,-1,800,1
2019-05-18 16:00:00,178.3,-1,800,1
2019-05-18 17:00:00,178.5,-1,800,1
2019-05-18 18:00:00,178.5,-1,800,1
2019-05-18 19:00:00,178.6,-1,800,1
2019-05-18 20:00:00,178.6,-1,800,1
2019-05-18 21:00:00,178.7,-1,800,1
2019-05-18 22:00:00,178.7,-1,800,1
2019-05-18 23:00:00,178.9,-1,800,1
2019-05-19 00:00:00,178.7,-1,800,1
2019-05-19 01:00:00,178.6,-1,800,1
2019-05-19 02:00:00,178.7,-1,800,1
2019-05-19 03:00:00,178.5,-1,800,1
2019-05-19 04:00:00,178.4,-1,800,1
2019-05-19 05:00:00,178.3,-1,800,1
2019-05-19 06:00:00,178.4,-1,800,1
2019-05-19 07:00:00,178.3,-1,800,1
2019-05-19 08:00:00,178.2,-1,800,1
2019-05-19 09:00:00,178.2,-1,800,1
2019-05-19 10:00:00,178.4,-1,800,1
2019-05-19 11:00:00,178.1,-1,800,1
2019-05-19 12:00:00,178.1,-1,800,1
2019-05-19 13:00:00,178.2,-1,800,1
2019-05-19 14:00:00,178.2,-1,800,1
2019-05-19 15:00:00,178.4,-1,800,1
2019-05-19 16:00:00,178.3,-1,800,1
2019-05-19 17:00:00,178.5,-1,800,1
2019-05-19 18:00:00,178.5,-1,800,1
2019-05-19 19:00:00,178.5,-1,800,1
2019-05-19 20:00:00,178.5,-1,800,1
2019-05-19 21:00:00,178.7,-1,800,1
2019-05-19 22:00:00,178.9,-1,800,1
2019-05-19 23:00:00,178.8,-1,800,1
2019-05-20 00:00:00,178.8,-1,800,1
2019-05-20 01:00:00,178.8,-1,800,1
2019-05-20 02:00:00,178.7,-1,800,1
2019-05-20 03:00:00,178.7,-1,800,1
2019-05-20 04:00:00,178.7,-1,800,1
2019-05-20 05:00:00,178.6,-1,800,1
2019-05-20 06:00:00,178.6,-1,800,1
2019-05-20 07:00:00,178.5,-1,800,1
2019-05-20 08:00:00,178.4,-1,800,1
2019-05-20 09:00:00,178.2,-1,800,1
2019-05-20 10:00:00,178.3,-1,800,1
2019-05-20 11:00:00,178.2,-1,800,1
2019-05-20 12:00:00,178.1,-1,800,1
2019-05-20 13:00:00,178,-1,800,1
2019-05-20 14:00:00,178.1,-1,800,1
2019-05-20 15:00:00,178.1,-1,800,1
2019-05-20 16:00:00,178.4,-1,800,1
2019-05-20 17:00:00,178.4,-1,800,1
2019-05-20 18:00:00,178.4,-1,800,1
2019-05-20 19:00:00,178.4,-1,800,1
2019-05-20 20:00:00,178.6,-1,800,1
2019-05-20 21:00:00,178.8,-1,800,1
2019-05-20 22:00:00,178.8,-1,800,1
2019-05-20 23:00:00,178.8,-1,800,1
2019-05-21 00:00:00,178.8,-1,800,1
2019-05-21 01:00:00,178.9,-1,800,1
2019-05-21 02:00:00,178.9,-1,800,1
2019-05-21 03:00:00,178.7,-1,800,1
2019-05-21 04:00:00,178.5,-1,800,1
2019-05-21 05:00:00,178.5,-1,800,1
2019-05-21 06:00:00,178.5,-1,800,1
2019-05-21 07:00:00,178.5,-1,800,1
2019-05-21 08:00:00,178.3,-1,800,1
2019-05-21 09:00:00,178.4,-1,800,1
2019-05-21 10:00:00,178.4,-1,800,1
2019-05-21 11:00:00,178.2,-1,800,1
2019-05-21 12:00:00,178.3,-1,800,1
2019-05-21 13:00:00,178.3,-1,800,1
2019-05-21 14:00:00,178.3,-1,800,1
2019-05-21 15:00:00,178.3,-1,800,1
2019-05-21 16:00:00,178.5,-1,800,1
2019-05-21 17:00:00,178.5,-1,800,1
2019-05-21 18:00:00,178.4,-1,800,1
2019-05-21 19:00:00,178.6,-1,800,1
2019-05-21 20:00:00,178.6,-1,800,1
2019-05-21 21:00:00,178.7,-1,800,1
2019-05-21 22:00:00,178.7,-1,800,1
2019-05-21 23:00:00,178.9,-1,800,1
2019-05-22 00:00:00,179,-1,800,1
2019-05-22 01:00:00,178.9,-1,800,1
2019-05-22 02:00:00,178.9,-1,800,1
2019-05-22 03:00:00,178.9,-1,800,1
2019-05-22 04:00:00,178.7,-1,800,1
2019-05-22 05:00:00,178.6,-1,800,1
2019-05-22 06:00:00,178.5,-1,800,1
2019-05-22 07:00:00,178.5,-1,800,1
