#Data Set Export - PC.Working@2D07AP,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (mm),Grade Code,Approval Level,Interpolation Type
2019-05-14 17:00:00,190,-1,800,1
2019-05-14 18:00:00,189.8,-1,800,1
2019-05-14 19:00:00,190.1,-1,800,1
2019-05-14 20:00:00,190.3,-1,800,1
2019-05-14 21:00:00,190.3,-1,800,1
2019-05-14 22:00:00,190.3,-1,800,1
2019-05-14 23:00:00,190.4,-1,800,1
2019-05-15 00:00:00,190.4,-1,800,1
2019-05-15 01:00:00,190.2,-1,800,1
2019-05-15 02:00:00,190.4,-1,800,1
2019-05-15 03:00:00,190.1,-1,800,1
2019-05-15 04:00:00,190.3,-1,800,1
2019-05-15 05:00:00,190.4,-1,800,1
2019-05-15 06:00:00,191.1,-1,800,1
2019-05-15 07:00:00,191.7,-1,800,1
2019-05-15 08:00:00,191.7,-1,800,1
2019-05-15 09:00:00,191.7,-1,800,1
2019-05-15 10:00:00,191.7,-1,800,1
2019-05-15 11:00:00,191.6,-1,800,1
2019-05-15 12:00:00,191.7,-1,800,1
2019-05-15 13:00:00,191.6,-1,800,1
2019-05-15 14:00:00,191.5,-1,800,1
2019-05-15 15:00:00,191.5,-1,800,1
2019-05-15 16:00:00,191.7,-1,800,1
2019-05-15 17:00:00,191.9,-1,800,1
2019-05-15 18:00:00,191.7,-1,800,1
2019-05-15 19:00:00,192,-1,800,1
2019-05-15 20:00:00,191.9,-1,800,1
2019-05-15 21:00:00,192,-1,800,1
2019-05-15 22:00:00,192,-1,800,1
2019-05-15 23:00:00,192.1,-1,800,1
2019-05-16 00:00:00,192,-1,800,1
2019-05-16 01:00:00,192.5,-1,800,1
2019-05-16 02:00:00,192.3,-1,800,1
2019-05-16 03:00:00,192.2,-1,800,1
2019-05-16 04:00:00,192.2,-1,800,1
2019-05-16 05:00:00,192,-1,800,1
2019-05-16 06:00:00,191.9,-1,800,1
2019-05-16 07:00:00,191.7,-1,800,1
2019-05-16 08:00:00,191.9,-1,800,1
2019-05-16 09:00:00,191.8,-1,800,1
2019-05-16 10:00:00,191.9,-1,800,1
2019-05-16 11:00:00,192,-1,800,1
2019-05-16 12:00:00,191.8,-1,800,1
2019-05-16 13:00:00,191.8,-1,800,1
2019-05-16 14:00:00,191.7,-1,800,1
2019-05-16 15:00:00,191.7,-1,800,1
2019-05-16 16:00:00,191.6,-1,800,1
2019-05-16 17:00:00,191.7,-1,800,1
2019-05-16 18:00:00,191.9,-1,800,1
2019-05-16 19:00:00,191.8,-1,800,1
2019-05-16 20:00:00,192,-1,800,1
2019-05-16 21:00:00,192,-1,800,1
2019-05-16 22:00:00,192,-1,800,1
2019-05-16 23:00:00,192.1,-1,800,1
2019-05-17 00:00:00,192,-1,800,1
2019-05-17 01:00:00,192.2,-1,800,1
2019-05-17 02:00:00,192.2,-1,800,1
2019-05-17 03:00:00,192.1,-1,800,1
2019-05-17 04:00:00,191.8,-1,800,1
2019-05-17 05:00:00,191.9,-1,800,1
2019-05-17 06:00:00,191.7,-1,800,1
2019-05-17 07:00:00,191.7,-1,800,1
2019-05-17 08:00:00,192.1,-1,800,1
2019-05-17 09:00:00,192.4,-1,800,1
2019-05-17 10:00:00,193.4,-1,800,1
2019-05-17 11:00:00,194.6,-1,800,1
2019-05-17 12:00:00,194.5,-1,800,1
2019-05-17 13:00:00,194.7,-1,800,1
2019-05-17 14:00:00,194.5,-1,800,1
2019-05-17 15:00:00,194.8,-1,800,1
2019-05-17 16:00:00,194.5,-1,800,1
2019-05-17 17:00:00,194.7,-1,800,1
2019-05-17 18:00:00,194.7,-1,800,1
2019-05-17 19:00:00,194.8,-1,800,1
2019-05-17 20:00:00,195,-1,800,1
2019-05-17 21:00:00,194.8,-1,800,1
2019-05-17 22:00:00,194.9,-1,800,1
2019-05-17 23:00:00,194.8,-1,800,1
2019-05-18 00:00:00,195.3,-1,800,1
2019-05-18 01:00:00,195.7,-1,800,1
2019-05-18 02:00:00,196.3,-1,800,1
2019-05-18 03:00:00,197.1,-1,800,1
2019-05-18 04:00:00,198,-1,800,1
2019-05-18 05:00:00,198,-1,800,1
2019-05-18 06:00:00,198.3,-1,800,1
2019-05-18 07:00:00,198.4,-1,800,1
2019-05-18 08:00:00,198.7,-1,800,1
2019-05-18 09:00:00,198.5,-1,800,1
2019-05-18 10:00:00,198.7,-1,800,1
2019-05-18 11:00:00,198.6,-1,800,1
2019-05-18 12:00:00,198.7,-1,800,1
2019-05-18 13:00:00,199.1,-1,800,1
2019-05-18 14:00:00,199.3,-1,800,1
2019-05-18 15:00:00,199.4,-1,800,1
2019-05-18 16:00:00,199.3,-1,800,1
2019-05-18 17:00:00,199.3,-1,800,1
2019-05-18 18:00:00,199.3,-1,800,1
2019-05-18 19:00:00,199.2,-1,800,1
2019-05-18 20:00:00,199.3,-1,800,1
2019-05-18 21:00:00,199,-1,800,1
2019-05-18 22:00:00,199.5,-1,800,1
2019-05-18 23:00:00,199.7,-1,800,1
2019-05-19 00:00:00,199.8,-1,800,1
2019-05-19 01:00:00,200,-1,800,1
2019-05-19 02:00:00,199.9,-1,800,1
2019-05-19 03:00:00,199.6,-1,800,1
2019-05-19 04:00:00,199.4,-1,800,1
2019-05-19 05:00:00,199.6,-1,800,1
2019-05-19 06:00:00,199.5,-1,800,1
2019-05-19 07:00:00,199.4,-1,800,1
2019-05-19 08:00:00,199.4,-1,800,1
2019-05-19 09:00:00,199.4,-1,800,1
2019-05-19 10:00:00,199.5,-1,800,1
2019-05-19 11:00:00,199.5,-1,800,1
2019-05-19 12:00:00,199.4,-1,800,1
2019-05-19 13:00:00,199.3,-1,800,1
2019-05-19 14:00:00,199.2,-1,800,1
2019-05-19 15:00:00,199.3,-1,800,1
2019-05-19 16:00:00,199.5,-1,800,1
2019-05-19 17:00:00,199.7,-1,800,1
2019-05-19 18:00:00,199.6,-1,800,1
2019-05-19 19:00:00,199.5,-1,800,1
2019-05-19 20:00:00,200,-1,800,1
2019-05-19 21:00:00,199.6,-1,800,1
2019-05-19 22:00:00,199.7,-1,800,1
2019-05-19 23:00:00,199.7,-1,800,1
2019-05-20 00:00:00,199.6,-1,800,1
2019-05-20 01:00:00,199.7,-1,800,1
2019-05-20 02:00:00,199.8,-1,800,1
2019-05-20 03:00:00,199.4,-1,800,1
2019-05-20 04:00:00,199.5,-1,800,1
2019-05-20 05:00:00,199.4,-1,800,1
2019-05-20 06:00:00,199.4,-1,800,1
2019-05-20 07:00:00,198.9,-1,800,1
2019-05-20 08:00:00,199.1,-1,800,1
2019-05-20 09:00:00,199.3,-1,800,1
2019-05-20 10:00:00,199,-1,800,1
2019-05-20 11:00:00,199.3,-1,800,1
2019-05-20 12:00:00,199.2,-1,800,1
2019-05-20 13:00:00,199.3,-1,800,1
2019-05-20 14:00:00,199.3,-1,800,1
2019-05-20 15:00:00,199.3,-1,800,1
2019-05-20 16:00:00,199.3,-1,800,1
2019-05-20 17:00:00,199.3,-1,800,1
2019-05-20 18:00:00,199.4,-1,800,1
2019-05-20 19:00:00,199.3,-1,800,1
2019-05-20 20:00:00,199.6,-1,800,1
2019-05-20 21:00:00,199.6,-1,800,1
2019-05-20 22:00:00,199.8,-1,800,1
2019-05-20 23:00:00,199.4,-1,800,1
2019-05-21 00:00:00,199.5,-1,800,1
2019-05-21 01:00:00,199.6,-1,800,1
2019-05-21 02:00:00,199.7,-1,800,1
2019-05-21 03:00:00,199.6,-1,800,1
2019-05-21 04:00:00,199.7,-1,800,1
2019-05-21 05:00:00,199.6,-1,800,1
2019-05-21 06:00:00,199.4,-1,800,1
2019-05-21 07:00:00,199.3,-1,800,1
2019-05-21 08:00:00,199.2,-1,800,1
2019-05-21 09:00:00,199.5,-1,800,1
2019-05-21 10:00:00,199.5,-1,800,1
2019-05-21 11:00:00,199.4,-1,800,1
2019-05-21 12:00:00,199.3,-1,800,1
2019-05-21 13:00:00,199.2,-1,800,1
2019-05-21 14:00:00,199.2,-1,800,1
2019-05-21 15:00:00,199.4,-1,800,1
2019-05-21 16:00:00,199.3,-1,800,1
2019-05-21 17:00:00,199.4,-1,800,1
2019-05-21 18:00:00,199.4,-1,800,1
2019-05-21 19:00:00,199.6,-1,800,1
2019-05-21 20:00:00,199.6,-1,800,1
2019-05-21 21:00:00,199.9,-1,800,1
2019-05-21 22:00:00,199.8,-1,800,1
2019-05-21 23:00:00,200.2,-1,800,1
2019-05-22 00:00:00,199.9,-1,800,1
2019-05-22 01:00:00,200.1,-1,800,1
2019-05-22 02:00:00,199.8,-1,800,1
2019-05-22 03:00:00,199.8,-1,800,1
2019-05-22 04:00:00,199.4,-1,800,1
2019-05-22 05:00:00,199.3,-1,800,1
2019-05-22 06:00:00,199.3,-1,800,1
2019-05-22 07:00:00,199.5,-1,800,1
2019-05-22 08:00:00,199.3,-1,800,1
2019-05-22 09:00:00,199.2,-1,800,1
2019-05-22 10:00:00,199.3,-1,800,1
2019-05-22 11:00:00,199.4,-1,800,1
2019-05-22 12:00:00,199.3,-1,800,1
2019-05-22 13:00:00,199.3,-1,800,1
2019-05-22 14:00:00,199.7,-1,800,1
2019-05-22 15:00:00,199.6,-1,800,1
2019-05-22 16:00:00,199.5,-1,800,1
2019-05-22 17:00:00,199.6,-1,800,1
2019-05-22 18:00:00,199.4,-1,800,1
2019-05-22 19:00:00,199.4,-1,800,1
2019-05-22 20:00:00,199.8,-1,800,1
2019-05-22 21:00:00,199.8,-1,800,1
2019-05-22 22:00:00,200,-1,800,1
2019-05-22 23:00:00,199.8,-1,800,1
2019-05-23 00:00:00,200.2,-1,800,1
2019-05-23 01:00:00,200.3,-1,800,1
2019-05-23 02:00:00,200.1,-1,800,1
2019-05-23 03:00:00,200.3,-1,800,1
2019-05-23 04:00:00,199.9,-1,800,1
