#Data Set Export - PC.Working@2D16P,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (mm),Grade Code,Approval Level,Interpolation Type
2019-05-14 16:00:00,164.8,-1,800,1
2019-05-14 17:00:00,164.2,-1,800,1
2019-05-14 18:00:00,164.5,-1,800,1
2019-05-14 19:00:00,164.3,-1,800,1
2019-05-14 20:00:00,164,-1,800,1
2019-05-14 21:00:00,163.9,-1,800,1
2019-05-14 22:00:00,163.9,-1,800,1
2019-05-14 23:00:00,163.4,-1,800,1
2019-05-15 00:00:00,163.7,-1,800,1
2019-05-15 01:00:00,163.9,-1,800,1
2019-05-15 02:00:00,163.8,-1,800,1
2019-05-15 03:00:00,164.2,-1,800,1
2019-05-15 04:00:00,165.2,-1,800,1
2019-05-15 05:00:00,167.4,-1,800,1
2019-05-15 06:00:00,167.9,-1,800,1
2019-05-15 07:00:00,169.4,-1,800,1
2019-05-15 08:00:00,169.3,-1,800,1
2019-05-15 09:00:00,169.3,-1,800,1
2019-05-15 10:00:00,168.9,-1,800,1
2019-05-15 11:00:00,169.7,-1,800,1
2019-05-15 12:00:00,169.7,-1,800,1
2019-05-15 13:00:00,169.7,-1,800,1
2019-05-15 14:00:00,169.8,-1,800,1
2019-05-15 15:00:00,169.7,-1,800,1
2019-05-15 16:00:00,169.9,-1,800,1
2019-05-15 17:00:00,169.9,-1,800,1
2019-05-15 18:00:00,169.7,-1,800,1
2019-05-15 19:00:00,169.7,-1,800,1
2019-05-15 20:00:00,169.4,-1,800,1
2019-05-15 21:00:00,168.9,-1,800,1
2019-05-15 22:00:00,169.2,-1,800,1
2019-05-15 23:00:00,168.8,-1,800,1
2019-05-16 00:00:00,168.5,-1,800,1
2019-05-16 01:00:00,168.2,-1,800,1
2019-05-16 02:00:00,168.5,-1,800,1
2019-05-16 03:00:00,168.3,-1,800,1
2019-05-16 04:00:00,168.2,-1,800,1
2019-05-16 05:00:00,168.3,-1,800,1
2019-05-16 06:00:00,168.6,-1,800,1
2019-05-16 07:00:00,168.3,-1,800,1
2019-05-16 08:00:00,168.4,-1,800,1
2019-05-16 09:00:00,169.1,-1,800,1
2019-05-16 10:00:00,168.9,-1,800,1
2019-05-16 11:00:00,168.8,-1,800,1
2019-05-16 12:00:00,168.8,-1,800,1
2019-05-16 13:00:00,168.9,-1,800,1
2019-05-16 14:00:00,168.9,-1,800,1
2019-05-16 15:00:00,168.8,-1,800,1
2019-05-16 16:00:00,169.2,-1,800,1
2019-05-16 17:00:00,169.5,-1,800,1
2019-05-16 18:00:00,169.4,-1,800,1
2019-05-16 19:00:00,169.8,-1,800,1
2019-05-16 20:00:00,169.4,-1,800,1
2019-05-16 21:00:00,169.6,-1,800,1
2019-05-16 22:00:00,169.3,-1,800,1
2019-05-16 23:00:00,169.1,-1,800,1
