#Data Set Export - PC.Working@3A29P,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (mm),Grade Code,Approval Level,Interpolation Type
2019-11-18 20:00:00,220.4,-1,800,1
2019-11-18 21:00:00,220.4,-1,800,1
2019-11-18 22:00:00,220.4,-1,800,1
2019-11-18 23:00:00,220.8,-1,800,1
2019-11-19 00:00:00,222.2,-1,800,1
2019-11-19 01:00:00,222.8,-1,800,1
2019-11-19 02:00:00,223,-1,800,1
2019-11-19 03:00:00,223.7,-1,800,1
2019-11-19 04:00:00,226.3,-1,800,1
2019-11-19 05:00:00,227.2,-1,800,1
2019-11-19 06:00:00,227.6,-1,800,1
2019-11-19 07:00:00,229,-1,800,1
2019-11-19 08:00:00,230,-1,800,1
2019-11-19 09:00:00,230.3,-1,800,1
2019-11-19 10:00:00,230.3,-1,800,1
2019-11-19 11:00:00,230.3,-1,800,1
2019-11-19 12:00:00,230.3,-1,800,1
2019-11-19 13:00:00,230.3,-1,800,1
2019-11-19 14:00:00,230.3,-1,800,1
2019-11-19 15:00:00,230.3,-1,800,1
2019-11-19 16:00:00,230.3,-1,800,1
2019-11-19 17:00:00,230.3,-1,800,1
2019-11-19 18:00:00,230.3,-1,800,1
2019-11-19 19:00:00,230.3,-1,800,1
2019-11-19 20:00:00,230.3,-1,800,1
2019-11-19 21:00:00,230.3,-1,800,1
2019-11-19 22:00:00,230.3,-1,800,1
2019-11-19 23:00:00,230.3,-1,800,1
2019-11-20 00:00:00,230.3,-1,800,1
2019-11-20 01:00:00,230.3,-1,800,1
2019-11-20 02:00:00,230.3,-1,800,1
2019-11-20 03:00:00,230.3,-1,800,1
2019-11-20 04:00:00,230.3,-1,800,1
2019-11-20 05:00:00,230.3,-1,800,1
2019-11-20 06:00:00,230.3,-1,800,1
2019-11-20 07:00:00,230.3,-1,800,1
2019-11-20 08:00:00,230.3,-1,800,1
2019-11-20 09:00:00,230.3,-1,800,1
2019-11-20 10:00:00,230.3,-1,800,1
2019-11-20 11:00:00,230.3,-1,800,1
2019-11-20 12:00:00,230.3,-1,800,1
2019-11-20 13:00:00,230.3,-1,800,1
2019-11-20 14:00:00,230.3,-1,800,1
2019-11-20 15:00:00,230.3,-1,800,1
2019-11-20 16:00:00,230.3,-1,800,1
2019-11-20 17:00:00,230.3,-1,800,1
2019-11-20 18:00:00,230.3,-1,800,1
2019-11-20 19:00:00,230.3,-1,800,1
2019-11-20 20:00:00,230.3,-1,800,1
2019-11-20 21:00:00,230.3,-1,800,1
2019-11-20 22:00:00,230.3,-1,800,1
2019-11-20 23:00:00,230.3,-1,800,1
2019-11-21 00:00:00,230.3,-1,800,1
2019-11-21 01:00:00,230.3,-1,800,1
2019-11-21 02:00:00,230.3,-1,800,1
2019-11-21 03:00:00,230.3,-1,800,1
2019-11-21 04:00:00,230.3,-1,800,1
2019-11-21 05:00:00,230.3,-1,800,1
2019-11-21 06:00:00,230.3,-1,800,1
2019-11-21 07:00:00,230.3,-1,800,1
2019-11-21 08:00:00,230.3,-1,800,1
2019-11-21 09:00:00,230.3,-1,800,1
2019-11-21 10:00:00,230.3,-1,800,1
2019-11-21 11:00:00,230.3,-1,800,1
2019-11-21 12:00:00,230.3,-1,800,1
2019-11-21 13:00:00,230.3,-1,800,1
2019-11-21 14:00:00,230.3,-1,800,1
2019-11-21 15:00:00,230.3,-1,800,1
2019-11-21 16:00:00,230.3,-1,800,1
2019-11-21 17:00:00,230.3,-1,800,1
2019-11-21 18:00:00,230.3,-1,800,1
2019-11-21 19:00:00,230.3,-1,800,1
2019-11-21 20:00:00,230.3,-1,800,1
2019-11-21 21:00:00,230.3,-1,800,1
2019-11-21 22:00:00,230.3,-1,800,1
2019-11-21 23:00:00,230.3,-1,800,1
2019-11-22 00:00:00,230.3,-1,800,1
2019-11-22 01:00:00,230.3,-1,800,1
2019-11-22 02:00:00,230.3,-1,800,1
2019-11-22 03:00:00,230.3,-1,800,1
2019-11-22 04:00:00,230.3,-1,800,1
2019-11-22 05:00:00,230.3,-1,800,1
2019-11-22 06:00:00,230.3,-1,800,1
2019-11-22 07:00:00,230.3,-1,800,1
2019-11-22 08:00:00,230.3,-1,800,1
2019-11-22 09:00:00,230.3,-1,800,1
2019-11-22 10:00:00,230.3,-1,800,1
2019-11-22 11:00:00,230.3,-1,800,1
2019-11-22 12:00:00,230.3,-1,800,1
2019-11-22 13:00:00,230.3,-1,800,1
2019-11-22 14:00:00,230.3,-1,800,1
2019-11-22 15:00:00,230.3,-1,800,1
2019-11-22 16:00:00,230.3,-1,800,1
2019-11-22 17:00:00,230.3,-1,800,1
2019-11-22 18:00:00,230.3,-1,800,1
2019-11-22 19:00:00,230.3,-1,800,1
2019-11-22 20:00:00,230.3,-1,800,1
2019-11-22 21:00:00,230.3,-1,800,1
2019-11-22 22:00:00,230.3,-1,800,1
2019-11-22 23:00:00,230.3,-1,800,1
2019-11-23 00:00:00,230.3,-1,800,1
2019-11-23 01:00:00,230.3,-1,800,1
2019-11-23 02:00:00,230.3,-1,800,1
2019-11-23 03:00:00,230.3,-1,800,1
2019-11-23 04:00:00,230.3,-1,800,1
2019-11-23 05:00:00,230.3,-1,800,1
2019-11-23 06:00:00,230.3,-1,800,1
2019-11-23 07:00:00,230.3,-1,800,1
2019-11-23 08:00:00,230.6,-1,800,1
2019-11-23 09:00:00,230.6,-1,800,1
2019-11-23 10:00:00,230.6,-1,800,1
2019-11-23 11:00:00,230.6,-1,800,1
2019-11-23 12:00:00,230.6,-1,800,1
2019-11-23 13:00:00,230.6,-1,800,1
2019-11-23 14:00:00,230.6,-1,800,1
2019-11-23 15:00:00,230.6,-1,800,1
2019-11-23 16:00:00,230.6,-1,800,1
2019-11-23 17:00:00,230.6,-1,800,1
2019-11-23 18:00:00,230.6,-1,800,1
2019-11-23 19:00:00,230.8,-1,800,1
2019-11-23 20:00:00,231.3,-1,800,1
2019-11-23 21:00:00,231.7,-1,800,1
2019-11-23 22:00:00,232.2,-1,800,1
2019-11-23 23:00:00,232.4,-1,800,1
2019-11-24 00:00:00,232.5,-1,800,1
2019-11-24 01:00:00,232.8,-1,800,1
2019-11-24 02:00:00,234.5,-1,800,1
2019-11-24 03:00:00,236,-1,800,1
2019-11-24 04:00:00,236.5,-1,800,1
2019-11-24 05:00:00,237.3,-1,800,1
2019-11-24 06:00:00,238.9,-1,800,1
2019-11-24 07:00:00,239.7,-1,800,1
2019-11-24 08:00:00,240,-1,800,1
2019-11-24 09:00:00,240,-1,800,1
2019-11-24 10:00:00,240,-1,800,1
2019-11-24 11:00:00,240,-1,800,1
2019-11-24 12:00:00,240,-1,800,1
2019-11-24 13:00:00,240,-1,800,1
2019-11-24 14:00:00,240,-1,800,1
2019-11-24 15:00:00,240,-1,800,1
2019-11-24 16:00:00,240,-1,800,1
2019-11-24 17:00:00,240,-1,800,1
2019-11-24 18:00:00,240,-1,800,1
2019-11-24 19:00:00,240,-1,800,1
2019-11-24 20:00:00,240,-1,800,1
2019-11-24 21:00:00,240,-1,800,1
2019-11-24 22:00:00,240.1,-1,800,1
2019-11-24 23:00:00,240.3,-1,800,1
2019-11-25 00:00:00,240.3,-1,800,1
2019-11-25 01:00:00,240.3,-1,800,1
2019-11-25 02:00:00,240.3,-1,800,1
2019-11-25 03:00:00,240.3,-1,800,1
2019-11-25 04:00:00,240.3,-1,800,1
2019-11-25 05:00:00,240.3,-1,800,1
2019-11-25 06:00:00,240.3,-1,800,1
2019-11-25 07:00:00,240.3,-1,800,1
2019-11-25 08:00:00,240.6,-1,800,1
2019-11-25 09:00:00,240.7,-1,800,1
2019-11-25 10:00:00,240.8,-1,800,1
2019-11-25 11:00:00,240.8,-1,800,1
2019-11-25 12:00:00,240.8,-1,800,1
2019-11-25 13:00:00,240.8,-1,800,1
2019-11-25 14:00:00,240.8,-1,800,1
2019-11-25 15:00:00,240.8,-1,800,1
2019-11-25 16:00:00,240.8,-1,800,1
2019-11-25 17:00:00,240.8,-1,800,1
2019-11-25 18:00:00,240.8,-1,800,1
2019-11-25 19:00:00,240.8,-1,800,1
2019-11-25 20:00:00,240.8,-1,800,1
2019-11-25 21:00:00,240.8,-1,800,1
2019-11-25 22:00:00,240.8,-1,800,1
2019-11-25 23:00:00,240.8,-1,800,1
2019-11-26 00:00:00,240.8,-1,800,1
2019-11-26 01:00:00,240.8,-1,800,1
2019-11-26 02:00:00,240.8,-1,800,1
2019-11-26 03:00:00,240.8,-1,800,1
2019-11-26 04:00:00,240.8,-1,800,1
2019-11-26 05:00:00,240.8,-1,800,1
2019-11-26 06:00:00,240.8,-1,800,1
2019-11-26 07:00:00,240.8,-1,800,1
2019-11-26 08:00:00,240.8,-1,800,1
2019-11-26 09:00:00,240.8,-1,800,1
2019-11-26 10:00:00,240.8,-1,800,1
2019-11-26 11:00:00,240.9,-1,800,1
2019-11-26 12:00:00,241.2,-1,800,1
2019-11-26 13:00:00,241.2,-1,800,1
2019-11-26 14:00:00,241.2,-1,800,1
2019-11-26 15:00:00,241.2,-1,800,1
2019-11-26 16:00:00,241.2,-1,800,1
2019-11-26 17:00:00,241.2,-1,800,1
2019-11-26 18:00:00,241.2,-1,800,1
2019-11-26 19:00:00,241.2,-1,800,1
2019-11-26 20:00:00,241.2,-1,800,1
2019-11-26 21:00:00,241.2,-1,800,1
2019-11-26 22:00:00,241.2,-1,800,1
2019-11-26 23:00:00,241.2,-1,800,1
2019-11-27 00:00:00,241.2,-1,800,1
2019-11-27 01:00:00,241.2,-1,800,1
2019-11-27 02:00:00,241.2,-1,800,1
2019-11-27 03:00:00,241.2,-1,800,1
2019-11-27 04:00:00,241.2,-1,800,1
2019-11-27 05:00:00,241.2,-1,800,1
2019-11-27 06:00:00,241.2,-1,800,1
2019-11-27 07:00:00,241.2,-1,800,1
2019-11-27 08:00:00,241.2,-1,800,1
2019-11-27 09:00:00,241.2,-1,800,1
2019-11-27 10:00:00,241.2,-1,800,1
2019-11-27 11:00:00,241.2,-1,800,1
2019-11-27 12:00:00,241.2,-1,800,1
2019-11-27 13:00:00,241.2,-1,800,1
2019-11-27 14:00:00,241.2,-1,800,1
2019-11-27 15:00:00,241.2,-1,800,1
2019-11-27 16:00:00,241.2,-1,800,1
2019-11-27 17:00:00,241.3,-1,800,1
