#Data Set Export - SD.Working@1A14P,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (cm),Grade Code,Approval Level,Interpolation Type
2003-10-04 09:50:24,-4,-1,800,1
2003-10-04 10:50:24,-6,-1,800,1
2003-10-04 11:50:24,-3,-1,800,1
2003-10-04 12:50:24,-5,-1,800,1
2003-10-04 13:50:24,-6,-1,800,1
2003-10-04 14:50:24,-4,-1,800,1
2003-10-04 15:50:24,-3,-1,800,1
2003-10-04 16:50:24,-3,-1,800,1
2003-10-04 17:50:24,-4,-1,800,1
2003-10-04 18:50:24,-4,-1,800,1
2003-10-04 19:50:24,-3,-1,800,1
2003-10-04 20:50:24,-4,-1,800,1
2003-10-04 21:50:24,-3,-1,800,1
2003-10-04 22:50:24,-4,-1,800,1
2003-10-04 23:50:24,-4,-1,800,1
2003-10-05 00:50:24,-3,-1,800,1
2003-10-05 01:50:24,-4,-1,800,1
2003-10-05 02:50:24,-3,-1,800,1
2003-10-05 03:50:24,-2,-1,800,1
2003-10-05 04:50:24,-4,-1,800,1
2003-10-05 05:50:24,-4,-1,800,1
2003-10-05 06:50:24,-5,-1,800,1
2003-10-05 07:50:24,-4,-1,800,1
2003-10-05 08:50:24,-4,-1,800,1
2003-10-05 09:50:24,-4,-1,800,1
2003-10-05 10:50:24,-7.000000000000001,-1,800,1
2003-10-05 11:50:24,-7.000000000000001,-1,800,1
2003-10-05 12:50:24,-4,-1,800,1
2003-10-05 13:50:24,-7.000000000000001,-1,800,1
2003-10-05 14:50:24,-7.000000000000001,-1,800,1
2003-10-05 15:50:24,-6,-1,800,1
2003-10-05 16:50:24,-3,-1,800,1
2003-10-05 17:50:24,-4,-1,800,1
2003-10-05 18:50:24,-3,-1,800,1
2003-10-05 19:50:24,-3,-1,800,1
2003-10-05 20:50:24,-7.000000000000001,-1,800,1
2003-10-05 21:50:24,-5,-1,800,1
2003-10-05 22:50:24,-5,-1,800,1
2003-10-05 23:50:24,-4,-1,800,1
2003-10-06 00:50:24,-3,-1,800,1
2003-10-06 01:50:24,-4,-1,800,1
2003-10-06 02:50:24,-3,-1,800,1
2003-10-06 03:50:24,-3,-1,800,1
2003-10-06 04:50:24,-5,-1,800,1
2003-10-06 05:50:24,-5,-1,800,1
2003-10-06 06:50:25,-4,-1,800,1
2003-10-06 07:50:25,-4,-1,800,1
2003-10-06 08:50:25,-4,-1,800,1
2003-10-06 09:50:25,-5,-1,800,1
2003-10-06 10:50:25,-4,-1,800,1
2003-10-06 11:50:25,-4,-1,800,1
2003-10-06 12:50:25,-5,-1,800,1
2003-10-06 13:50:25,-4,-1,800,1
2003-10-06 14:50:25,-4,-1,800,1
2003-10-06 15:50:25,-5,-1,800,1
2003-10-06 16:50:25,-3,-1,800,1
2003-10-06 17:50:25,-4,-1,800,1
2003-10-06 18:50:25,-3,-1,800,1
2003-10-06 19:50:25,-3,-1,800,1
2003-10-06 20:50:25,-4,-1,800,1
2003-10-06 21:50:25,-4,-1,800,1
2003-10-06 22:50:25,-4,-1,800,1
2003-10-06 23:50:25,-4,-1,800,1
2003-10-07 00:50:25,-4,-1,800,1
2003-10-07 01:50:25,-4,-1,800,1
2003-10-07 02:50:25,-4,-1,800,1
2003-10-07 03:50:25,-4,-1,800,1
2003-10-07 04:50:25,-4,-1,800,1
2003-10-07 05:50:25,-3,-1,800,1
2003-10-07 06:50:25,-4,-1,800,1
2003-10-07 07:50:25,-4,-1,800,1
2003-10-07 08:50:25,-4,-1,800,1
2003-10-07 09:50:25,-4,-1,800,1
2003-10-07 10:50:25,-3,-1,800,1
2003-10-07 11:50:25,-4,-1,800,1
2003-10-07 12:50:25,-4,-1,800,1
2003-10-07 13:50:25,-4,-1,800,1
2003-10-07 14:50:25,-4,-1,800,1
2003-10-07 15:50:25,-4,-1,800,1
2003-10-07 16:50:25,-5,-1,800,1
2003-10-07 17:50:25,-3,-1,800,1
2003-10-07 18:50:25,-4,-1,800,1
2003-10-07 19:50:25,-3,-1,800,1
2003-10-07 20:50:25,-3,-1,800,1
2003-10-07 21:50:25,-3,-1,800,1
2003-10-07 22:50:25,-2,-1,800,1
2003-10-07 23:50:25,-2,-1,800,1
2003-10-08 00:50:25,-3,-1,800,1
2003-10-08 01:50:25,-3,-1,800,1
2003-10-08 02:50:25,-3,-1,800,1
2003-10-08 03:50:25,-3,-1,800,1
2003-10-08 04:50:25,-3,-1,800,1
2003-10-08 05:50:25,-3,-1,800,1
2003-10-08 06:50:25,-3,-1,800,1
2003-10-08 07:50:25,-3,-1,800,1
2003-10-08 08:50:25,-4,-1,800,1
2003-10-08 09:50:25,-4,-1,800,1
2003-10-08 10:50:25,-3,-1,800,1
2003-10-08 11:50:25,-3,-1,800,1
2003-10-08 12:50:25,-3,-1,800,1
2003-10-08 13:50:25,-3,-1,800,1
2003-10-08 14:50:25,-3,-1,800,1
2003-10-08 15:50:25,-3,-1,800,1
2003-10-08 16:50:25,-3,-1,800,1
2003-10-08 17:50:25,-4,-1,800,1
2003-10-08 18:50:25,-4,-1,800,1
2003-10-08 19:50:25,-3,-1,800,1
2003-10-08 20:50:25,-3,-1,800,1
2003-10-08 21:50:25,-3,-1,800,1
2003-10-08 22:50:25,-3,-1,800,1
2003-10-08 23:50:25,-3,-1,800,1
2003-10-09 00:50:25,-3,-1,800,1
2003-10-09 01:50:25,-2,-1,800,1
2003-10-09 02:50:25,-2,-1,800,1
2003-10-09 03:50:25,-3,-1,800,1
2003-10-09 04:50:25,-3,-1,800,1
2003-10-09 05:50:25,-3,-1,800,1
2003-10-09 06:50:25,-3,-1,800,1
2003-10-09 07:50:25,-3,-1,800,1
2003-10-09 08:50:25,-3,-1,800,1
2003-10-09 09:50:25,-3,-1,800,1
2003-10-09 10:50:25,-4,-1,800,1
2003-10-09 11:50:25,-4,-1,800,1
2003-10-09 12:50:25,-4,-1,800,1
2003-10-09 13:50:25,-4,-1,800,1
2003-10-09 14:50:25,-4,-1,800,1
2003-10-09 15:50:25,-3,-1,800,1
2003-10-09 16:50:25,-3,-1,800,1
2003-10-09 17:50:25,-3,-1,800,1
2003-10-09 18:50:25,-4,-1,800,1
2003-10-09 19:50:25,-3,-1,800,1
2003-10-09 20:50:25,-4,-1,800,1
2003-10-09 21:50:25,-4,-1,800,1
2003-10-09 22:50:25,-4,-1,800,1
2003-10-09 23:50:25,-4,-1,800,1
2003-10-10 00:50:25,-4,-1,800,1
2003-10-10 01:50:25,-4,-1,800,1
2003-10-10 02:50:25,-4,-1,800,1
2003-10-10 03:50:25,-4,-1,800,1
2003-10-10 04:50:25,-4,-1,800,1
2003-10-10 05:50:25,-4,-1,800,1
2003-10-10 06:50:25,-4,-1,800,1
2003-10-10 07:50:25,-4,-1,800,1
2003-10-10 08:50:25,-4,-1,800,1
2003-10-10 09:50:25,-4,-1,800,1
2003-10-10 10:50:25,-4,-1,800,1
2003-10-10 11:50:25,-4,-1,800,1
2003-10-10 12:50:25,-4,-1,800,1
2003-10-10 13:50:25,-3,-1,800,1
2003-10-10 14:50:25,-4,-1,800,1
2003-10-10 15:50:25,-3,-1,800,1
2003-10-10 16:50:25,-4,-1,800,1
2003-10-10 17:50:25,-4,-1,800,1
2003-10-10 18:50:25,-4,-1,800,1
2003-10-10 19:50:25,-4,-1,800,1
2003-10-10 20:50:25,-4,-1,800,1
2003-10-10 21:50:25,-4,-1,800,1
2003-10-10 22:50:25,-4,-1,800,1
2003-10-10 23:50:25,-4,-1,800,1
2003-10-11 00:50:25,-4,-1,800,1
2003-10-11 01:50:25,-4,-1,800,1
2003-10-11 02:50:25,-4,-1,800,1
2003-10-11 03:50:25,-4,-1,800,1
2003-10-11 04:50:25,-5,-1,800,1
2003-10-11 05:50:25,-4,-1,800,1
2003-10-11 06:50:25,-4,-1,800,1
2003-10-11 07:50:25,-4,-1,800,1
2003-10-11 08:50:25,-4,-1,800,1
2003-10-11 09:50:25,-4,-1,800,1
2003-10-11 10:50:25,-4,-1,800,1
2003-10-11 11:50:25,-5,-1,800,1
2003-10-11 12:50:25,-5,-1,800,1
2003-10-11 13:50:25,-4,-1,800,1
2003-10-11 14:50:25,-4,-1,800,1
2003-10-11 15:50:25,-3,-1,800,1
2003-10-11 16:50:25,-4,-1,800,1
2003-10-11 17:50:25,-4,-1,800,1
2003-10-11 18:50:25,-4,-1,800,1
2003-10-11 19:50:25,-4,-1,800,1
2003-10-11 20:50:25,-4,-1,800,1
2003-10-11 21:50:25,-4,-1,800,1
2003-10-11 22:50:25,-4,-1,800,1
2003-10-11 23:50:25,-4,-1,800,1
2003-10-12 00:50:25,-4,-1,800,1
2003-10-12 01:50:25,-3,-1,800,1
2003-10-12 02:50:25,-4,-1,800,1
2003-10-12 03:50:25,-4,-1,800,1
2003-10-12 04:50:25,-4,-1,800,1
2003-10-12 05:50:25,-4,-1,800,1
2003-10-12 06:50:25,-4,-1,800,1
2003-10-12 07:50:25,-4,-1,800,1
2003-10-12 08:50:25,-4,-1,800,1
2003-10-12 09:50:25,-4,-1,800,1
2003-10-12 10:50:25,-3,-1,800,1
2003-10-12 11:50:25,-4,-1,800,1
2003-10-12 12:50:25,-4,-1,800,1
2003-10-12 13:50:25,-4,-1,800,1
2003-10-12 14:50:25,-4,-1,800,1
2003-10-12 15:50:25,-4,-1,800,1
2003-10-12 16:50:25,-4,-1,800,1
2003-10-12 17:50:25,-3,-1,800,1
2003-10-12 18:50:25,-4,-1,800,1
2003-10-12 19:50:25,-4,-1,800,1
2003-10-12 20:50:25,-4,-1,800,1
2003-10-12 21:50:25,-4,-1,800,1
2003-10-12 22:50:25,-4,-1,800,1
2003-10-12 23:50:25,-4,-1,800,1
2003-10-13 00:50:25,-4,-1,800,1
2003-10-13 01:50:25,-4,-1,800,1
2003-10-13 02:50:25,-4,-1,800,1
2003-10-13 03:50:25,-4,-1,800,1
2003-10-13 04:50:25,-4,-1,800,1
2003-10-13 05:50:25,-4,-1,800,1
2003-10-13 06:50:25,-4,-1,800,1
2003-10-13 07:50:25,-3,-1,800,1
2003-10-13 08:50:25,-4,-1,800,1
2003-10-13 09:50:25,-3,-1,800,1
2003-10-13 10:50:25,-3,-1,800,1
2003-10-13 11:50:25,-4,-1,800,1
2003-10-13 12:50:25,-4,-1,800,1
