#Data Set Export - SD.Working@1D06P,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (cm),Grade Code,Approval Level,Interpolation Type
2003-10-01 02:43:37,-1,-1,800,1
2003-10-01 02:43:38,NaN,-3,800,1
2003-10-02 23:43:36,NaN,-3,800,1
2003-10-02 23:43:37,-2,-1,800,1
2003-10-02 23:43:38,NaN,-3,800,1
2003-10-03 01:43:36,NaN,-3,800,1
2003-10-03 01:43:37,-1,-1,800,1
2003-10-03 02:43:37,-3,-1,800,1
2003-10-03 04:43:37,-2,-1,800,1
2003-10-03 04:43:38,NaN,-3,800,1
2003-10-03 12:43:36,NaN,-3,800,1
2003-10-03 12:43:37,-9,-1,800,1
2003-10-03 15:43:37,-6,-1,800,1
2003-10-03 15:43:38,NaN,-3,800,1
2003-10-04 02:43:36,NaN,-3,800,1
2003-10-04 02:43:37,-1,-1,800,1
2003-10-04 03:43:37,-2,-1,800,1
2003-10-04 04:43:37,-2,-1,800,1
2003-10-04 05:43:37,-1,-1,800,1
2003-10-04 12:43:37,-7.000000000000001,-1,800,1
2003-10-04 12:43:38,NaN,-3,800,1
2003-10-06 22:43:35,NaN,-3,800,1
2003-10-06 22:43:36,1,-1,800,1
2003-10-06 22:43:37,NaN,-3,800,1
2003-10-07 01:43:35,NaN,-3,800,1
2003-10-07 01:43:36,1,-1,800,1
2003-10-07 02:43:36,0,-1,800,1
2003-10-07 03:43:36,1,-1,800,1
2003-10-07 04:43:36,1,-1,800,1
2003-10-07 05:43:36,1,-1,800,1
2003-10-07 06:43:36,0,-1,800,1
2003-10-07 07:43:36,0,-1,800,1
2003-10-07 07:43:37,NaN,-3,800,1
2003-10-07 18:43:35,NaN,-3,800,1
2003-10-07 18:43:36,0,-1,800,1
2003-10-07 19:43:36,0,-1,800,1
2003-10-07 20:43:36,1,-1,800,1
2003-10-07 21:43:36,0,-1,800,1
2003-10-07 22:43:36,0,-1,800,1
2003-10-08 01:43:36,1,-1,800,1
2003-10-08 01:43:37,NaN,-3,800,1
2003-10-08 05:43:35,NaN,-3,800,1
2003-10-08 05:43:36,-2,-1,800,1
2003-10-08 06:43:36,-12,-1,800,1
2003-10-08 07:43:36,1,-1,800,1
2003-10-08 08:43:36,-1,-1,800,1
2003-10-08 08:43:37,NaN,-3,800,1
2003-10-08 11:43:35,NaN,-3,800,1
2003-10-08 11:43:36,0,-1,800,1
2003-10-08 12:43:36,-1,-1,800,1
2003-10-08 13:43:36,-6,-1,800,1
2003-10-08 13:43:37,NaN,-3,800,1
2003-10-14 00:43:35,NaN,-3,800,1
2003-10-14 00:43:36,19,-1,800,1
2003-10-14 00:43:37,NaN,-3,800,1
2003-10-14 02:43:35,NaN,-3,800,1
2003-10-14 02:43:36,21,-1,800,1
2003-10-14 03:43:36,10,-1,800,1
2003-10-14 04:43:36,20,-1,800,1
2003-10-14 07:43:36,9,-1,800,1
2003-10-14 07:43:37,NaN,-3,800,1
2003-10-14 19:43:35,NaN,-3,800,1
2003-10-14 19:43:36,9,-1,800,1
2003-10-14 21:43:36,8,-1,800,1
2003-10-14 21:43:37,NaN,-3,800,1
2003-10-15 05:43:35,NaN,-3,800,1
2003-10-15 05:43:36,8,-1,800,1
2003-10-15 07:43:36,6,-1,800,1
2003-10-15 07:43:37,NaN,-3,800,1
2003-10-16 18:43:35,NaN,-3,800,1
2003-10-16 18:43:36,40,-1,800,1
2003-10-16 19:43:36,38,-1,800,1
2003-10-16 20:43:36,42,-1,800,1
2003-10-16 21:43:36,44,-1,800,1
2003-10-16 22:43:36,43,-1,800,1
2003-10-16 23:43:36,42,-1,800,1
2003-10-16 23:43:37,NaN,-3,800,1
2003-10-17 03:43:35,NaN,-3,800,1
2003-10-17 03:43:36,43,-1,800,1
2003-10-17 04:43:36,36,-1,800,1
2003-10-17 05:43:36,42,-1,800,1
2003-10-17 06:43:36,34,-1,800,1
2003-10-17 10:43:36,34,-1,800,1
2003-10-17 10:43:37,NaN,-3,800,1
2003-10-17 17:43:35,NaN,-3,800,1
2003-10-17 17:43:36,30,-1,800,1
2003-10-17 18:43:36,34,-1,800,1
2003-10-17 18:43:37,NaN,-3,800,1
2003-10-24 03:43:35,NaN,-3,800,1
2003-10-24 03:43:36,-2,-1,800,1
2003-10-24 03:43:37,NaN,-3,800,1
2003-10-25 18:43:35,NaN,-3,800,1
2003-10-25 18:43:36,-4,-1,800,1
