#Data Set Export - SD.Working@4B17P,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (cm),Grade Code,Approval Level,Interpolation Type
2003-10-01 00:41:08,0,-1,800,1
2003-10-01 01:41:08,-1,-1,800,1
2003-10-01 02:41:08,-1,-1,800,1
2003-10-01 03:41:08,-1,-1,800,1
2003-10-01 04:41:08,-1,-1,800,1
2003-10-01 05:41:08,-1,-1,800,1
2003-10-01 06:41:08,-2,-1,800,1
2003-10-01 07:41:08,0,-1,800,1
2003-10-01 08:41:08,-2,-1,800,1
2003-10-01 09:41:08,-3,-1,800,1
2003-10-01 10:41:08,-3,-1,800,1
2003-10-01 11:41:08,-3,-1,800,1
2003-10-01 12:41:08,-3,-1,800,1
2003-10-01 13:41:08,-2,-1,800,1
2003-10-01 14:41:08,-3,-1,800,1
2003-10-01 15:41:08,-2,-1,800,1
2003-10-01 16:41:08,-2,-1,800,1
2003-10-01 17:41:08,-2,-1,800,1
2003-10-01 18:41:08,-1,-1,800,1
2003-10-01 19:41:08,-1,-1,800,1
2003-10-01 20:41:08,-1,-1,800,1
2003-10-01 21:41:08,-1,-1,800,1
2003-10-01 22:41:08,-1,-1,800,1
2003-10-01 23:41:08,-1,-1,800,1
2003-10-02 00:41:08,-1,-1,800,1
2003-10-02 01:41:08,-2,-1,800,1
2003-10-02 02:41:08,-1,-1,800,1
2003-10-02 03:41:08,-2,-1,800,1
2003-10-02 04:41:08,-1,-1,800,1
2003-10-02 05:41:08,-2,-1,800,1
2003-10-02 06:41:08,-1,-1,800,1
2003-10-02 07:41:08,-2,-1,800,1
2003-10-02 08:41:08,-3,-1,800,1
2003-10-02 09:41:08,-4,-1,800,1
2003-10-02 10:41:08,-3,-1,800,1
