#Data Set Export - SD.Working@4D10P,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, -1=UNSPECIFIED, 0=UNDEF, 11=POOR, 21=ESTIMATED, 25=BEST PRACTICE, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 800=WORKING, 900=IN REVIEW, 1200=APPROVED",,,,
Timestamp (UTC),Value (m),Grade Code,Approval Level,Interpolation Type
2015-09-25 23:00:00,2.77555756156289E-17,0,800,1
2015-09-26 00:00:00,4.39308978691239E-09,0,800,1
2015-09-26 01:00:00,8.786179546936558E-09,0,800,1
2015-09-26 02:00:00,1.3179269306093401E-08,0,800,1
2015-09-26 03:00:00,1.75723590652502E-08,0,800,1
2015-09-26 04:00:00,2.19654488252743E-08,0,800,1
2015-09-26 05:00:00,2.63585385844312E-08,0,800,1
2015-09-26 06:00:00,3.0751628343588E-08,0,800,1
2015-09-26 07:00:00,3.51447181036121E-08,0,800,1
2015-09-26 08:00:00,3.9537807863636296E-08,0,800,1
2015-09-26 09:00:00,4.39308976227931E-08,0,800,1
2015-09-26 10:00:00,4.83239873828173E-08,0,800,1
2015-09-26 11:00:00,5.27170771419741E-08,0,800,1
2015-09-26 12:00:00,5.71101669011309E-08,0,800,1
2015-09-26 13:00:00,6.15032566611551E-08,0,800,1
2015-09-26 14:00:00,6.58963464203119E-08,0,800,1
2015-09-26 15:00:00,7.02894361794687E-08,0,800,1
2015-09-26 16:00:00,7.468252593949291E-08,0,800,1
2015-09-26 17:00:00,7.90756156986497E-08,0,800,1
2015-09-26 18:00:00,8.34687054578065E-08,0,800,1
2015-09-26 19:00:00,8.78617952178307E-08,0,800,1
2015-09-26 20:00:00,9.22548849769875E-08,0,800,1
2015-09-26 21:00:00,9.66479747361443E-08,0,800,1
2015-09-26 22:00:00,1.01041064496168E-07,0,800,1
2015-09-26 23:00:00,1.05434154255325E-07,0,800,1
2015-09-27 00:00:00,1.0982724401448199E-07,0,800,1
2015-09-27 01:00:00,1.1422033377450599E-07,0,800,1
2015-09-27 02:00:00,1.1861342353366301E-07,0,800,1
2015-09-27 03:00:00,1.2300651329282E-07,0,800,1
2015-09-27 04:00:00,1.27399603052844E-07,0,800,1
2015-09-27 05:00:00,1.3179269281200098E-07,0,800,1
2015-09-27 06:00:00,1.36185782571158E-07,0,800,1
2015-09-27 07:00:00,1.40578872331182E-07,0,800,1
2015-09-27 08:00:00,1.44971962090339E-07,0,800,1
2015-09-27 09:00:00,1.49365051849495E-07,0,800,1
2015-09-27 10:00:00,1.5375814160952001E-07,0,800,1
2015-09-27 11:00:00,1.58151231369544E-07,0,800,1
2015-09-27 12:00:00,1.62544321128701E-07,0,800,1
2015-09-27 13:00:00,1.66937410888725E-07,0,800,1
2015-09-27 14:00:00,1.7133050064788195E-07,0,800,1
2015-09-27 15:00:00,1.75723590407038E-07,0,800,1
2015-09-27 16:00:00,1.80116680167063E-07,0,800,1
2015-09-27 17:00:00,1.84509769926219E-07,0,800,1
2015-09-27 18:00:00,1.8890285968537602E-07,0,800,1
2015-09-27 19:00:00,1.932959494454E-07,0,800,1
2015-09-27 20:00:00,1.97689039204557E-07,0,800,1
2015-09-27 21:00:00,2.0208212896371397E-07,0,800,1
2015-09-27 22:00:00,2.06475218723738E-07,0,800,1
2015-09-27 23:00:00,2.10868308482895E-07,0,800,1
2015-09-28 00:00:00,2.1526139824205197E-07,0,800,1
2015-09-28 01:00:00,2.19654488002076E-07,0,800,1
2015-09-28 02:00:00,2.24047577761233E-07,0,800,1
2015-09-28 03:00:00,2.2844066752038997E-07,0,800,1
2015-09-28 04:00:00,2.3283375728041396E-07,0,800,1
2015-09-28 05:00:00,2.37226847039571E-07,0,800,1
2015-09-28 06:00:00,2.416199367987269E-07,0,800,1
2015-09-28 07:00:00,2.46013026558752E-07,0,800,1
2015-09-28 08:00:00,2.50406116317908E-07,0,800,1
2015-09-28 09:00:00,2.54799206077065E-07,0,800,1
2015-09-28 10:00:00,2.59192295837089E-07,0,800,1
2015-09-28 11:00:00,2.63585385596246E-07,0,800,1
2015-09-28 12:00:00,2.67978475355403E-07,0,800,1
2015-09-28 13:00:00,2.72371565115427E-07,0,800,1
2015-09-28 14:00:00,2.76764654874584E-07,0,800,1
2015-09-28 15:00:00,2.81157744634608E-07,0,800,1
2015-09-28 16:00:00,2.85550834394632E-07,0,800,1
2015-09-28 17:00:00,2.89943924153789E-07,0,800,1
2015-09-28 18:00:00,2.94337013912946E-07,0,800,1
2015-09-28 19:00:00,2.9873010367297E-07,0,800,1
2015-09-28 20:00:00,3.03123193432127E-07,0,800,1
2015-09-28 21:00:00,3.07516283191284E-07,0,800,1
2015-09-28 22:00:00,3.1190937295044E-07,0,800,1
2015-09-28 23:00:00,3.16302462710465E-07,0,800,1
2015-09-29 00:00:00,3.20695552469621E-07,0,800,1
2015-09-29 01:00:00,3.2508864222877805E-07,0,800,1
2015-09-29 02:00:00,3.29481731988802E-07,0,800,1
