SNWASWS_ID,LCTN_ID,LCTN_NM,ELEVATION,STATUS,LATITUDE,LONGITUDE,SHAPE,OBJECTID,X,Y,unusable,Downloaded,Filed,SD Start,SD End,PC Start,PC End
1,1A01P,Yellowhead Lake,1860,Active,52.90622,-118.5475,,183827,1499303.694,903870.1851,,TRUE,,,,,
2,1A02P,McBride Upper,1610,Active,53.30604,-120.31926,,183828,1377318.321,937316.777,,TRUE,,,,,
3,1A03P,Barkerville,1470,Active,53.057338,-121.491828,,183829,1301320.469,904019.8636,,TRUE,,,,,
4,1A05P,Longworth Upper,1740,Active,53.95083,-121.4431,,183830,1298159.568,1003722.556,,TRUE,,,,,
5,1A12P,Kaza Lake,1257,Active,56.021192,-126.297597,,183831,981486.1798,1225252.741,TRUE,FALSE,,,,,
6,1A14P,Hedrick Lake,1130,Active,54.10572,-121,,183832,1325885.711,1022923.32,,TRUE,,,,,
7,1A15P,Knudsen Lake,1580,Active,54.30266,-120.782813,,183833,1338397.74,1045866.353,,TRUE,,,,,
8,1A17P,Revolution Creek,1680,Active,53.78422,-120.3752,,183834,1369375.386,990210.9775,,TRUE,,,,,
9,1A19P,Dome Mountain,1774,Active,53.626945,-121.016944,,183835,1328541.193,969545.3786,,TRUE,,,,,
10,1B01P,Mount Wells,1490,Active,53.72861,-126.423614,,183836,972115.4008,969406.2555,TRUE,FALSE,,,,,
11,1B02P,Tahtsa Lake,1300,Active,53.593055,-127.64389,,183837,891447.9718,955456.1347,TRUE,FALSE,,,,,
12,1B08P,Mt. Pondosy,1400,Active,53.1525,-126.881111,,183838,941201.4981,905404.8157,TRUE,FALSE,,,,,
13,1C05P,McGillivray Pass,1718,Active,50.698556,-122.625375,,183839,1238150.47,637196.1094,TRUE,FALSE,,,,,
14,1C12P,Green Mountain,1780,Active,50.795633,-122.924542,,183840,1216582.532,647032.0904,TRUE,FALSE,,,,,
15,1C14P,Bralorne,1382,Active,50.775189,-122.788819,,184993,1226237.282,645182.5671,,TRUE,,,,,
16,1C18P,Mission Ridge,1850,Active,50.762556,-122.207694,,184994,1267218.423,645803.1098,TRUE,FALSE,,,,,
17,1C20P,Boss Mountain Mine,1460,Active,52.1069,-120.86727,,184995,1350675.034,801142.4498,,TRUE,,,,,
18,1C29P,Shovelnose Mountain,1460,Active,49.855951,-120.862891,,184996,1369147.298,551162.8486,,TRUE,,,,,
19,1C32P,Deadman River,1460,Active,51.098512,-120.609694,,184997,1376787.619,690406.9243,,TRUE,,,,,
20,1C38P,Downton Lake Upper,1829,Active,50.859792,-123.183633,,184998,1198062.507,653410.8,TRUE,FALSE,,,,,
21,1C40P,North Tyaughton,1969,Active,51.147525,-122.793753,,184999,1224012.648,686587.9893,TRUE,FALSE,,,,,
22,1C41P,Yanks Peak,1670,Active,52.83201,-121.35564,,185000,1312058.121,879526.2859,,TRUE,,,,,
23,1D06P,Tenquille Lake,1680,Active,50.53625,-122.92996,,185001,1217453.047,618167.3458,,TRUE,,,,,
24,1D08P,Lamont Creek Upper,,Active,49.581909,-122.314283,,185002,1266550.286,514233.9359,TRUE,FALSE,,,,,
25,1D09P,Wahleach Lake,1480,Active,49.23275,-121.579883,,185003,1322019.91,478545.8814,TRUE,FALSE,,,,,
26,1D11P,Boston Bar Creek (Upper),1340,Inactive,49.58333,-121.216667,,185004,1345812.028,519139.0082,TRUE,FALSE,,,,,
27,1D12P,Boston Bar Creek (Lower),1230,Inactive,49.6,-121.116667,,185005,1352902.464,521481.3252,TRUE,FALSE,,,,,
28,1D14P,Ottomite Mountain,1460,Inactive,49.6,-120.15,,185006,1422614.41,526776.2745,TRUE,FALSE,,,,,
29,1D15P,Great Bear,1660,Inactive,49.486042,-121.107109,,185007,1354466.917,508891.918,TRUE,FALSE,,,,,
30,1D17P,Chilliwack River,1620,Active,49.0315,-121.7121,,185008,1313752.794,455637.6226,,TRUE,,,,,
31,1D18P,Disappointment Lake,1050,Active,49.555,-122.758333,,185009,1234597.597,509674.4798,,TRUE,,,,,
32,1D19P,Spuzzum,1180,Active,49.660831,-121.660835,,185010,1313215.325,525669.5427,,TRUE,,,,,
33,1E02P,Mount Cook,1570,Active,52.18214,-119.3227,,185011,1455135.282,818293.3682,,TRUE,,,,,
34,1E08P,Azure River,1640,Active,52.595917,-119.722694,,185012,1423858.792,861757.8242,,TRUE,,,,,
35,1E10P,Kostal Lake,1770,Active,52.203334,-120.016944,,185013,1407734.333,816415.9088,,TRUE,,,,,
36,1E11P,Mt St Anne,1780,Inactive,52.266667,-119.233333,,185014,1460308.767,828253.2123,TRUE,FALSE,,,,,
37,1E14P,Cook Creek,1280,Active,52.167777,-119.303888,,185015,1456564.962,816820.2809,,TRUE,,,,,
38,1F03P,Park Mountain,1890,Active,50.44961,-118.61856,,185016,1523052.881,631102.4447,,TRUE,,,,,
39,1F04P,Enderby,1950,Active,50.653025,-118.926903,,185017,1499019.419,651400.3699,,TRUE,,,,,
40,1F04P2,Enderby Tower 2,1950,Active,50.653025,-118.926903,,185018,1499019.419,651400.3699,TRUE,FALSE,,,,,
