,SNWASWS_ID,LCTN_ID,LCTN_NM,ELEVATION,STATUS,LATITUDE,LONGITUDE,SHAPE,OBJECTID,X,Y,unusable,Downloaded,Filed,SD Start,SD End,PC Start,PC End
0,1,1A01P,Yellowhead Lake,1860.0,Active,52.90622,-118.5475,,183827,1499303.694,903870.1851,,True,,2003-10-01 00:11:08,2022-11-12 21:00:00,2003-10-01 00:11:08,2022-11-12 21:00:00
1,2,1A02P,McBride Upper,1610.0,Active,53.30604,-120.31926,,183828,1377318.321,937316.777,,True,,2006-07-19 09:07:38,2022-11-12 21:00:00,2006-07-19 09:07:38,2022-11-12 21:00:00
2,3,1A03P,Barkerville,1470.0,Active,53.057338,-121.491828,,183829,1301320.469,904019.8636,,True,,2006-02-16 21:19:24,2022-11-12 21:00:00,2003-10-01 00:19:29,2022-11-12 21:00:00
3,4,1A05P,Longworth Upper,1740.0,Active,53.95083,-121.4431,,183830,1298159.568,1003722.556,,True,,2016-09-30 02:00:00,2022-11-12 21:00:00,2017-03-21 19:00:00,2022-11-12 21:00:00
4,5,1A12P,Kaza Lake,1257.0,Active,56.021192,-126.297597,,183831,981486.1798,1225252.741,True,False,,,,,
5,6,1A14P,Hedrick Lake,1130.0,Active,54.10572,-121.0,,183832,1325885.711,1022923.32,,True,,2003-10-04 09:50:24,2022-11-12 22:00:00,2003-10-04 09:50:24,2022-11-12 22:00:00
6,7,1A15P,Knudsen Lake,1580.0,Active,54.30266,-120.782813,,183833,1338397.74,1045866.353,,True,,2016-03-29 19:00:00,2022-11-12 23:00:00,2016-03-29 19:00:00,2022-11-12 23:00:00
7,8,1A17P,Revolution Creek,1680.0,Active,53.78422,-120.3752,,183834,1369375.386,990210.9775,,True,,2007-10-08 15:01:24,2022-08-07 23:00:00,2003-10-01 00:01:28,2022-11-12 22:00:00
8,9,1A19P,Dome Mountain,1774.0,Active,53.626945,-121.016944,,183835,1328541.193,969545.3786,,True,,2006-10-01 00:06:42,2022-11-12 22:00:00,2006-02-06 18:06:39,2022-11-12 22:00:00
9,10,1B01P,Mount Wells,1490.0,Active,53.72861,-126.423614,,183836,972115.4008,969406.2555,True,False,,,,,
10,11,1B02P,Tahtsa Lake,1300.0,Active,53.593055,-127.64389,,183837,891447.9718,955456.1347,True,False,,,,,
11,12,1B08P,Mt. Pondosy,1400.0,Active,53.1525,-126.881111,,183838,941201.4981,905404.8157,True,False,,,,,
12,13,1C05P,McGillivray Pass,1718.0,Active,50.698556,-122.625375,,183839,1238150.47,637196.1094,True,False,,,,,
13,14,1C12P,Green Mountain,1780.0,Active,50.795633,-122.924542,,183840,1216582.532,647032.0904,True,False,,,,,
14,15,1C14P,Bralorne,1382.0,Active,50.775189,-122.788819,,184993,1226237.282,645182.5671,,True,,2017-11-27 17:00:00,2022-11-12 22:00:00,2017-11-27 17:00:00,2022-11-12 22:00:00
15,16,1C18P,Mission Ridge,1850.0,Active,50.762556,-122.207694,,184994,1267218.423,645803.1098,True,False,,,,,
16,17,1C20P,Boss Mountain Mine,1460.0,Active,52.1069,-120.86727,,184995,1350675.034,801142.4498,,True,,2003-10-04 09:05:09,2022-11-12 22:00:00,2003-10-04 09:05:09,2022-11-12 22:00:00
17,18,1C29P,Shovelnose Mountain,1460.0,Active,49.855951,-120.862891,,184996,1369147.298,551162.8486,,True,,2018-10-01 16:00:00,2022-11-12 22:00:00,2018-09-14 18:00:00,2022-11-12 22:00:00
18,19,1C32P,Deadman River,1460.0,Active,51.098512,-120.609694,,184997,1376787.619,690406.9243,,True,,2022-06-02 17:00:00,2022-11-12 22:00:00,2022-06-02 17:00:00,2022-11-12 22:00:00
19,20,1C38P,Downton Lake Upper,1829.0,Active,50.859792,-123.183633,,184998,1198062.507,653410.8,True,False,,,,,
20,21,1C40P,North Tyaughton,1969.0,Active,51.147525,-122.793753,,184999,1224012.648,686587.9893,True,False,,,,,
21,22,1C41P,Yanks Peak,1670.0,Active,52.83201,-121.35564,,185000,1312058.121,879526.2859,,True,,2003-10-01 00:10:24,2022-11-12 22:00:00,2003-10-01 00:10:24,2022-11-12 22:00:00
22,23,1D06P,Tenquille Lake,1680.0,Active,50.53625,-122.92996,,185001,1217453.047,618167.3458,,True,,2003-10-01 02:43:37,2022-11-13 00:00:00,2003-10-01 00:43:37,2022-11-13 00:00:00
23,24,1D08P,Lamont Creek Upper,,Active,49.581909,-122.314283,,185002,1266550.286,514233.9359,True,False,,,,,
24,25,1D09P,Wahleach Lake,1480.0,Active,49.23275,-121.579883,,185003,1322019.91,478545.8814,True,False,,,,,
25,26,1D11P,Boston Bar Creek (Upper),1340.0,Inactive,49.58333,-121.216667,,185004,1345812.028,519139.0082,True,False,,,,,
26,27,1D12P,Boston Bar Creek (Lower),1230.0,Inactive,49.6,-121.116667,,185005,1352902.464,521481.3252,True,False,,,,,
27,28,1D14P,Ottomite Mountain,1460.0,Inactive,49.6,-120.15,,185006,1422614.41,526776.2745,True,False,,,,,
28,29,1D15P,Great Bear,1660.0,Inactive,49.486042,-121.107109,,185007,1354466.917,508891.918,True,False,,,,,
29,30,1D17P,Chilliwack River,1620.0,Active,49.0315,-121.7121,,185008,1313752.794,455637.6226,,True,,2003-10-01 00:07:08,2022-11-12 23:00:00,2003-10-01 00:07:08,2022-11-12 23:00:00
30,31,1D18P,Disappointment Lake,1050.0,Active,49.555,-122.758333,,185009,1234597.597,509674.4798,,True,,2018-03-18 19:00:00,2022-11-12 23:00:00,2018-03-18 19:00:00,2022-11-12 23:00:00
31,32,1D19P,Spuzzum,1180.0,Active,49.660831,-121.660835,,185010,1313215.325,525669.5427,,True,,2003-10-01 00:47:10,2022-11-12 23:00:00,2003-10-01 00:47:10,2022-11-12 23:00:00
32,33,1E02P,Mount Cook,1570.0,Active,52.18214,-119.3227,,185011,1455135.282,818293.3682,,True,,2003-10-23 14:37:08,2022-05-02 16:00:00,2003-10-24 18:37:08,2021-11-26 01:00:00
33,34,1E08P,Azure River,1640.0,Active,52.595917,-119.722694,,185012,1423858.792,861757.8242,,True,,2006-10-22 02:41:08,2022-11-12 23:00:00,2003-10-01 00:41:09,2022-11-12 23:00:00
34,35,1E10P,Kostal Lake,1770.0,Active,52.203334,-120.016944,,185013,1407734.333,816415.9088,,True,,2007-08-13 09:00:24,2022-11-12 23:00:00,2003-10-01 00:00:29,2022-11-12 23:00:00
35,36,1E11P,Mt St Anne,1780.0,Inactive,52.266667,-119.233333,,185014,1460308.767,828253.2123,True,False,,,,,
36,37,1E14P,Cook Creek,1280.0,Active,52.167777,-119.303888,,185015,1456564.962,816820.2809,,True,,2003-10-04 09:49:09,2022-11-13 00:00:00,2003-10-04 09:49:09,2022-11-13 00:00:00
37,38,1F03P,Park Mountain,1890.0,Active,50.44961,-118.61856,,185016,1523052.881,631102.4447,,True,,2009-03-26 06:02:23,2022-11-12 23:00:00,2003-10-01 00:02:24,2022-11-12 23:00:00
38,39,1F04P,Enderby,1950.0,Active,50.653025,-118.926903,,185017,1499019.419,651400.3699,,True,,2016-08-18 23:00:00,2022-11-12 23:00:00,2003-10-01 00:02:24,2022-11-12 23:00:00
39,40,1F04P2,Enderby Tower 2,1950.0,Active,50.653025,-118.926903,,185018,1499019.419,651400.3699,True,False,,,,,
40,41,1F06P,Celista,1500.0,Active,51.406665,-118.999725,,185019,1485612.408,734411.7307,,True,,2004-10-07 00:04:38,2022-11-12 23:00:00,2004-10-07 00:04:38,2022-11-12 23:00:00
41,42,2A06P,Mount Revelstoke,1850.0,Active,51.036342,-118.151603,,185020,1548782.893,699582.788,True,False,,,,,
42,43,2A17P,Fidelity Mountain,1874.0,Inactive,51.233333,-117.716667,,185021,1576498.13,724838.7659,True,False,,,,,
43,44,2A18P,Keystone Creek,1840.0,Active,51.411289,-118.360656,,185022,1529724.49,739507.1335,True,False,,,,,
44,45,2A21P,Molson Creek,1935.0,Active,52.220556,-118.225833,,185023,1529150.56,830179.8749,True,False,,,,,
45,46,2A30P,Colpitti Creek,2131.0,Active,51.607722,-117.610861,,185024,1578896.083,767126.029,True,False,,,,,
46,47,2A31P,Caribou Creek,2201.0,Active,51.109028,-117.228417,,185025,1612021.079,715191.6945,True,False,,,,,
47,48,2A32P,Wildcat Creek,2122.0,Active,51.696303,-116.629411,,185026,1644943.479,785403.9151,True,False,,,,,
48,49,2A33P,Conrad Glacier,2599.0,Active,50.812033,-116.93975,,185027,1636275.302,684925.0693,True,False,,,,,
49,50,2A34P,Glacier NP Rogers Pass Lower,1182.0,Active,51.270116,-117.509425,,185028,1590362.987,730615.5182,True,False,,,,,
50,51,2A35P,Fred Laing Lower,577.0,Active,52.05381,-118.58594,,185029,1506675.087,809061.8883,,True,,2022-07-20 22:00:00,2022-11-12 23:00:00,2022-07-20 22:00:00,2022-11-12 23:00:00
51,52,2B06P,Barnes Creek,1620.0,Active,50.068553,-118.351122,,185030,1546503.376,590962.3379,True,False,,,,,
52,53,2B08P,St. Leon Creek,1800.0,Active,50.434172,-117.701214,,185031,1587976.004,636593.4781,True,False,,,,,
53,54,2B10P,Fauquier Water Treatment Plant,519.0,Active,49.864182,-118.074228,,185032,1568745.469,570549.8182,,True,,2019-05-14 16:00:00,2022-11-12 23:00:00,2019-05-14 16:00:00,2022-11-12 23:00:00
54,55,2C09P,Morrissey Ridge,1860.0,Inactive,49.447028,-114.973675,,185033,1796885.836,554487.0675,True,False,,,,,
55,56,2C09Q,Morrissey Ridge,1860.0,Active,49.447222,-114.975,,185034,1796787.504,554493.4759,True,False,,,,,
56,57,2C10P,Moyie Mountain,1835.0,Active,49.2515,-115.7739,,185035,1742599.173,524301.5666,,True,,2003-10-01 00:44:07,2022-11-12 23:00:00,2003-10-01 00:44:07,2022-11-12 23:00:00
57,58,2C14P,Floe Lake,2090.0,Active,51.059917,-116.137117,,185036,1688458.339,719793.079,True,False,,,,,
58,59,2C21P,Fernie,988.0,Active,49.48825,-115.072611,,185037,1789088.325,557905.5249,,True,,2018-08-15 18:00:00,2022-11-12 23:00:00,2018-08-15 18:00:00,2022-11-12 23:00:00
59,60,2D05P,Gray Creek Lower,1650.0,Active,49.61142,-116.6788,,185038,1672034.13,554881.7408,True,False,,,,,
60,61,2D07AP,Duncan Lake Dam 2,559.0,Active,50.238723,-116.971343,,185039,1642185.048,621348.2752,,True,,2019-05-14 17:00:00,2022-11-12 23:00:00,2019-05-14 17:00:00,2022-11-12 23:00:00
61,62,2D08P,East Creek,2030.0,Active,50.6396,-116.929733,,185040,1639427.82,665975.3767,True,False,,,,,
62,63,2D10P,Gray Creek Upper,1930.0,Active,49.61656,-116.6589,,185041,1673385.36,555637.2975,,True,,2020-08-27 19:00:00,2022-11-12 23:00:00,2020-08-27 20:00:00,2022-11-12 23:00:00
63,64,2D14P,Redfish Creek,2100.0,Active,49.69008,-117.0865,,185042,1641700.916,559771.3913,,True,,2004-11-17 05:44:38,2022-11-12 23:00:00,2003-10-01 00:44:38,2022-11-12 23:00:00
64,65,2D15P,Kaslo Airport,717.0,Active,49.90375,-116.928278,,185043,1649993.387,584783.1543,,True,,2018-08-15 17:00:00,2022-11-12 23:00:00,2018-08-15 17:00:00,2022-11-12 23:00:00
65,66,2D16P,New Denver East,653.0,Active,49.996657,-117.358372,,185044,1618075.725,591183.6249,,True,,2019-05-14 16:00:00,2022-11-12 23:00:00,2019-05-14 16:00:00,2022-11-12 23:00:00
66,67,2E07P,Grano Creek,1870.0,Active,49.55197,-118.6773,,185045,1529214.793,531360.8315,,True,,2003-10-01 00:43:07,2022-11-12 23:00:00,2003-10-01 00:43:07,2022-11-12 23:00:00
67,68,2F01AP,Trout Creek West,1420.0,Active,49.74017,-120.1891,,185046,1418518.37,542075.0217,,True,,2017-10-10 22:00:00,2022-11-12 23:00:00,2017-10-10 22:00:00,2022-11-12 23:00:00
68,69,2F05P,Mission Creek,1780.0,Active,49.94467,-118.9497,,185047,1505253.269,572810.3256,,True,,2003-10-01 00:03:09,2022-11-12 23:00:00,2003-10-01 00:03:09,2022-11-12 23:00:00
69,70,2F08P,Greyback Reservoir,1550.0,Active,49.616344,-119.422678,,185048,1474845.991,533196.5793,,True,,2016-09-01 07:00:00,2022-11-13 00:00:00,2016-08-31 19:00:00,2022-11-13 00:00:00
70,71,2F09P,Whiterocks Mountain,1800.0,Active,50.01669,-119.7461,,185049,1447631.298,575425.642,,True,,2022-07-13 18:00:00,2022-11-12 23:00:00,2022-07-13 18:00:00,2022-11-12 23:00:00
71,72,2F10P,Silver Star Mountain,1840.0,Active,50.37136,-119.06211,,185050,1492578.696,619256.829,,True,,2015-08-13 22:00:00,2022-11-13 00:00:00,2015-08-13 20:00:00,2022-11-13 00:00:00
