station,recorded,ten,mean,station_mean,kuchera,dube,gpt,nn_full,nn_small,nn_without_derived,nn_without_meta,nn_without_radiation,nn_without_surface,nn_without_temperature,nn_without_upper,nn_without_water,nn_without_wind,nn_surface_temperature,nn_surface_temp_meta,nn_temp_humidity,nn_temp_humidity_wind,nn_temp_humidity_wind_meta,count
1,0.0,1.6666666669999994,2.708358265547595,0.0,1.934897132999895,1.3333333330000006,7.109538799009792,0.8193785352861322,4.688645045295898,0.8117663068925776,0.08967335985546931,0.5929277734602056,0.8048089341962896,0.5655581159746088,1.6728693647539057,0.18502108289355412,1.730722109810058,1.6907431287919916,1.2893234892045893,1.3999716444169916,0.5078255338823237,2.473905245796386,1
2,0.0,4.286260599385965,4.779693461855879,4.2822328536565095,7.704751148999971,4.264734727175439,7.7793753797763685,4.03289945818182,4.10860320230079,4.026937337322574,4.015621718271621,3.9484017949853514,4.142854409785781,4.112825547418431,4.047924414676119,4.1375544590686975,4.036844569004257,4.297557842069241,3.9923906907746454,4.495624135216814,3.9731335353763533,4.026201008432398,57
3,0.0,3.354915722864865,3.830191018901962,3.201095097241133,6.041574365639596,3.252618097603604,7.1071367539359045,3.1892602102334666,3.1064413999912635,3.1694782827687042,3.135258806920962,3.285873350745104,3.0516363758079534,3.1612637097929444,3.094274923106654,3.2663363914092414,3.133313834720747,3.3652799460357894,3.1836084997177294,3.360185327227878,3.1593364208922594,3.141405801562018,111
4,0.0,6.009822956983471,5.829033505995872,5.883672816318557,9.498187535280953,7.087964283049587,6.453841587459013,5.986661644577717,5.78674445550515,5.935584904930572,6.00563324108573,5.743912284236072,5.916874981874213,5.859625626045951,5.805114334749948,5.909409571481893,5.872427744510508,6.005625505289519,5.697733605143963,5.908868239142441,5.872373668826784,5.655976190805371,121
5,0.0,3.109400431317073,3.1907036767851316,3.2155816360999405,4.84725062382925,3.631828545195122,5.189360278899416,3.107784058022336,3.2139739602581576,3.0706758809303185,3.1761383041153417,3.154322911086152,3.2588141060632863,3.184486897013082,3.129100784055616,3.102641532093559,3.1587341200065144,3.11123157904597,3.119337066404249,3.1247890752369,3.2731826932830903,3.228927901837242,82
6,0.0,5.440206412730769,5.19981604383517,5.5566879604704145,14.720638972653802,7.210658183115385,6.295979589093075,5.4339035791736405,4.987541195993023,5.301568915052922,5.578928685750413,5.497937095841403,4.705790559821271,5.1199273672015,5.8437666110011275,5.266752659919631,5.735192037190843,5.434925367844107,5.584767960230206,5.524688642403715,5.165231899213887,4.96530522175693,26
7,0.0,3.749084249230769,3.9125515412032916,3.9781628629585795,7.3784903631538175,4.633699633846154,5.8950665596340865,3.9196093599156776,4.026048656931528,3.8762829270273533,3.93275818123291,3.8542373330320387,4.014317325766507,3.8454504713189226,3.890654193759202,3.8334084990852237,3.8288785094025126,3.75276418497953,3.828060513597506,3.965239411455172,4.052681992925368,3.8466510214141376,26
8,0.0,4.543122771177778,5.1346448284640065,3.568763316408889,4.364217907399958,3.276903463311111,8.712768376779627,3.607361472928798,3.3497761033191296,3.643370809314898,3.562202788933881,3.25286446652685,3.296983240500743,3.4895285649752226,3.7424538696541885,3.679711452158518,3.9323871104869683,4.556248784191829,3.8109019167300455,4.657046923832346,3.1755523936936196,3.2622252931517632,45
9,0.0,4.510996869333334,4.423277571,4.7241181438333335,5.208769896000031,4.260996869333334,6.692234847816074,4.140977601411987,4.12037363220101,4.1741667391886805,4.06230971329187,4.237216612399373,4.088531241504802,4.214154144329875,4.176083536076294,4.293395261171509,4.289184144266195,4.5066345245915125,4.48671640071049,3.9818260333339843,3.4172679441059164,4.178764116391988,12
10,0.0,3.873792166774648,4.370550784609311,3.3580435365867882,5.351751077478839,3.302650317169014,7.850939125052986,3.202531286535741,3.1072276380281276,3.188259380663794,3.1240977792794586,3.0674149363886545,3.196297567602756,3.2601890120065713,3.277308370380378,3.3670474607719107,3.362630161363639,3.884860524322892,3.2248384565297683,3.9811689101450267,3.1948979959501194,3.242421311821901,71
11,0.0,3.179530346344445,3.4119438482116347,3.390487153625926,5.112920874877759,3.4459084127,5.603914568740004,3.2654791632796663,3.3305979847416616,3.242681440993018,3.307390383830203,3.217041801032623,3.172899978641537,3.2321677008773224,3.223105929908355,3.1919735179515683,3.230817870249881,3.184786363393598,3.2099987784530057,3.3474764412812394,3.267248122945497,3.1891254384820993,90
