station,recorded,ten,mean,station_mean,kuchera,dube,gpt,nn_full,nn_small,nn_without_derived,nn_without_meta,nn_without_radiation,nn_without_surface,nn_without_temperature,nn_without_upper,nn_without_water,nn_without_wind,nn_surface_temperature,nn_surface_temp_meta,nn_temp_humidity,nn_temp_humidity_wind,nn_temp_humidity_wind_meta,count
1,0.0,1.6666666669999994,2.708358265547595,0.0,1.934897132999895,1.3333333330000006,7.109538799009792,0.8193785352861322,4.688645045295898,0.8117663068925776,0.08967335985546931,0.5929277734602056,0.8048089341962896,0.5655581159746088,1.6728693647539057,0.18502108289355412,1.730722109810058,1.6907431287919916,1.2893234892045893,1.3999716444169916,0.5078255338823237,2.473905245796386,1
2,0.0,6.613742724801057,6.697656403540588,6.613725014963652,10.306622866868018,7.121656152062509,8.599060795887826,6.573529861526242,6.730133237108944,6.554764376268782,6.569435065835753,6.573995057561095,6.7528215491439125,6.658370392270759,6.763815486738838,6.6008851160920665,6.730551082038329,6.613905313481681,6.751642851331929,6.680618514480554,6.656251884012906,6.664331560567576,57
3,0.0,4.319141539735787,4.692877903100875,4.177819758561931,7.243109934397307,4.43658443053056,7.8341189547827,4.213578286447568,4.148706455046401,4.066031657771425,4.066281303849461,4.31178991334863,4.061994504006007,4.0978269752700776,4.033924250288179,4.2010126298573685,4.085273065829219,4.325107911519159,4.185703955555972,4.2736635421601425,4.203483987104624,4.138672563139401,111
4,0.0,9.27375799492268,8.914928075405541,8.523736531557407,12.563327496042046,10.509132005226924,8.723964094483087,9.198223274345462,9.103880924504978,9.20274620079475,9.330229057918707,8.963389705039496,8.933829442157002,8.940605639789917,8.828401621586469,9.034318319011543,8.998221479946427,9.264251008181516,8.663786356269796,9.188787694509266,8.8900878287662,8.646373845616546,121
5,0.0,4.404964123123394,4.226659840462522,4.221040195471748,5.995295021864538,4.945142322786474,5.837831069830544,4.3063363222926565,4.313754792660878,4.247978026779821,4.35789839302099,4.189539232382445,4.189781202511681,4.359394047391603,4.389625630765311,4.314907111651297,4.4247914892355364,4.398027293990225,4.368251991364862,4.303694428209259,4.192618918418748,4.200626808420262,82
6,0.0,9.052738417325175,8.679189190239759,8.262010932359395,17.470090329288094,10.680644260133144,8.447614434925478,9.023103092752008,8.258011041470025,8.703264315083393,9.363373336031248,9.09288765014819,8.192048654837032,8.828343020031905,9.562587808311868,8.854391810605385,9.428681116189512,9.04332660371322,9.21285589641154,9.017451754874646,8.16639664758003,8.519817849448616,26
7,0.0,5.4067544051586784,5.249336453462797,5.24163121257964,9.008620340796666,6.217842441487586,6.572952424019824,5.386476196290121,5.43566609416123,5.257366668549345,5.4480109613195395,5.188356137005185,5.249586959041359,5.401079455622691,5.499719403630481,5.3478601093421165,5.496604064277288,5.400638281922994,5.4682799822216,5.490670930643154,5.432995673045882,5.293532819560021,26
8,0.0,5.38592355434169,5.952250042820502,4.737970465342293,5.942121467965111,4.620940802954807,9.366910269745066,4.616794748722866,4.2911037559482725,4.603202832630115,4.631082394671363,4.2710603229805315,4.2768899666129485,4.458403283827364,4.773929514859411,4.666667496882793,4.895893751850791,5.397176699274619,4.842004044871346,5.4855602220834285,4.2915497513310035,4.361725979603338,45
9,0.0,7.988641381904597,7.800866086243569,7.748511760127762,7.527883570234666,7.884528757394356,8.412806393248504,7.635452332789955,7.534894386265349,7.587791748131598,7.654333142948052,7.829043314432805,7.172115241327139,7.513094816533387,7.8600554567858705,7.5806418833364155,7.93150512454279,7.98231215995728,7.954555447606685,7.543911910305003,6.006125735084071,6.878989013828063,12
10,0.0,5.512260020488169,5.862339315157256,5.334003409939699,6.903007055126504,5.358246104898069,8.704179633813078,5.207232023563906,5.184316053373963,5.219924678022833,5.21181631902555,5.140409497126253,5.284053724857076,5.288714143532882,5.275215498027666,5.288429907561079,5.299575423414834,5.518257130134602,5.420176559595538,5.556531087661616,5.253520599612944,5.359604844905703,71
11,0.0,4.652322271216303,4.555376658139915,4.5544397384148905,6.794541119051394,5.07354730725179,6.3453107494446686,4.602428413606023,4.548253148445364,4.566801941087047,4.610187863003734,4.439328102544287,4.404601797055178,4.620204466790851,4.65144849866275,4.605461027799722,4.665284956526549,4.6471917209723825,4.68186412721267,4.640427292576041,4.394394142036253,4.420582718955213,90
12,0.0,6.079187955199528,6.286672427628998,6.037505374160886,6.97727079430184,6.258682159839995,8.614014589671667,5.884855409823226,5.808339810959845,5.8923935576857955,5.94245008222513,5.69452314439805,5.640028937662706,5.93612641572812,5.969653356674106,5.892997536093466,6.0176375801769115,6.081980448847661,6.061795924280634,6.1782411721286286,5.627745734682187,5.539846476393552,78
13,0.0,10.142896741301211,9.443768401677637,7.2497592614078705,14.416957792130932,12.427390398619442,7.424265976137576,10.78811408043462,10.746063737115502,10.801367492299253,10.709661879576837,11.120813672725612,10.76920091757155,10.913548012018243,11.118484275822274,10.41527018623909,11.048204675823346,10.126203609192538,11.1923789390967,9.995542145529932,10.948572937860371,11.189103624203524,6
14,0.0,7.33644718854305,7.586965955541709,7.2250471589924015,11.782229240524925,7.428434294907986,10.000543565083667,7.232054172480157,7.3596900264984075,7.333980465380692,7.25023409281052,7.369979502320303,7.23021519164074,7.200156907945158,7.19917929857304,7.207727228812164,7.217717894213589,7.34049148570164,7.228542990522695,7.239703065442946,7.449695181615204,7.462688489323946,31
15,0.0,2.44373777191566,2.985308372631229,2.2757422571881647,4.141876862310165,2.5885807699038264,6.65322937631762,2.9100711819992764,2.9397450037990516,2.8367908106396307,2.672696709105816,2.798374491355318,3.3504035202253237,2.495338941408169,2.81490160410355,2.7005256174020054,2.5176877713868486,2.4526642973751205,2.611383495600688,2.5996421557265963,3.466293898943664,3.44873346179523,14
16,0.0,2.3109999271231634,1.96201822284459,1.9523123308922155,2.7085470112929686,3.7179111770473035,4.485446681046261,2.110242537285988,1.9490818791389952,1.8924568659969647,1.9928776992386676,1.9203938523846533,2.092322710518046,2.111606254492526,2.0438649779152644,2.0052003164810346,2.1722405897060773,2.2976511377312026,2.202707033175515,1.95474545166929,2.304259417262633,2.0748115150387973,8
17,0.0,5.425749599298698,5.436713765490342,5.40590042346943,6.395661918149881,5.915551936408566,7.312405127313009,5.341283803827776,5.515169589463534,5.3138576729242635,5.337722504645765,5.4824486160857315,5.62581002482519,5.380653246176738,5.437229477334443,5.41288947727431,5.47790395995375,5.423525776267553,5.6217639343402785,5.382443983662604,5.53885143449178,5.4175927855738175,105
18,0.0,5.890174297108644,5.859871894128078,5.849413478876543,7.692160299512219,6.262843070506153,7.460564927179251,5.816686294872019,5.8174506539521404,5.829855855534292,5.811240140926856,5.796861039126744,5.767681010155254,5.7980355481517964,5.8316591528634785,5.8364027681279715,5.85119763660549,5.887221738982114,5.889058822857724,5.7731306100300355,5.7359306632298415,5.797150565502599,139
19,0.0,3.3671066303539012,3.4788708993671307,3.3636018397223877,2.979979553857386,3.382979443836927,6.15309340871359,3.1122337003069567,3.526000150402183,3.1849103169675113,3.2821807121726643,3.320960489956637,3.8064260582747655,3.373690938386924,3.1655405856978605,3.0332430253748015,3.2516658267466836,3.365868171880222,3.395419403051399,3.2041829794476744,4.154947171485694,3.6854484906870715,8
20,0.0,12.950293925352511,12.299624413552301,9.850722506931971,14.383274673990105,13.36825017544451,10.433275017742925,12.810850309383728,12.473646586064671,12.542090935992483,12.538603306487751,12.406771772979763,12.194965063906043,12.990242584631979,12.96614309352876,12.97656970384153,13.064020880777512,12.933687799604995,13.475219289041133,12.428917277988123,11.957970837378783,12.487306836044272,8
21,0.0,5.061118158759546,4.9060741544773485,4.901098255674621,5.6717193691748955,5.938171372550876,6.2731340535485804,5.097501473395535,5.054892690904714,5.019826762790203,5.067608868843156,5.0830643333107695,5.135610810821112,5.235758900596821,4.953952660280779,5.110103561951844,5.010862083879157,5.054293140238528,5.068187124281387,4.8016605700506245,5.19027836966946,5.209274014958219,7
22,0.0,8.93083490837129,8.22337394839651,6.2840016573980995,6.72376708846347,8.93083490837129,6.38839882934373,8.660450249034216,8.598868718971124,8.375785307631599,8.88399406086961,8.465931717564512,8.589315348634653,8.211711796528828,8.551594922045243,8.771148645626683,8.708170232875817,8.912457529049904,8.68818281629181,8.118291021977123,8.257128836699296,8.460460283282725,6
23,0.0,3.95953373942765,4.093240313059213,3.9595316804858385,6.141358211265493,4.41706517736874,6.715319130044184,3.885349424912736,3.9414252115277733,3.9996640355283803,3.9704170590593972,3.912458564105999,4.076002203751439,3.9861033538313375,3.7901184205994487,3.9738189194622557,3.8611123089105295,3.95930209160525,3.970697291890529,3.8766310436911593,4.001859295457823,3.9288165274720033,118
24,0.0,4.138672863779131,3.1354081604281467,0.968654947132615,0.675093648830235,4.138672863779131,1.4656521531464395,3.9666288417833595,3.905648495243623,3.6795377817046786,4.002063539859075,3.503226290390896,3.808603151162536,4.088699234314371,4.192659779090709,4.049935093234329,4.2536399537471095,4.113881342019921,3.9127155874545934,3.532540981868965,3.5062320126035,3.2941877315948527,4
25,0.0,3.060456041621857,3.9372755175414493,1.8680042431371318,5.160408375584431,3.1483083916128236,8.071363931839374,3.3451260944209653,4.199800827146647,3.3621551458930132,3.13253796437741,3.9724908644993704,4.062292085311908,3.8196746689291117,2.8554219096273687,2.836869641221104,2.6853321291581103,3.0795937810725706,3.4256075318587436,3.3076961260785436,5.170686406761203,4.496172222048658,3
26,0.0,5.461991187422943,5.877657652875847,5.176893567562274,6.09653625483668,5.581372153564868,8.691674832184198,5.5397230304085285,5.56501599419434,5.549039488308838,5.618984623922951,5.7121735829429365,5.44182861572657,5.458859684675819,5.403483900558655,5.301082379010691,5.4228113584452835,5.469879916410346,5.426067291271365,5.76408295206294,5.525993696452836,5.687305261228743,29
27,0.0,6.213043187083718,6.217673698995929,6.19343541661275,6.80062836007732,6.456674389272738,7.818697786603241,6.281429267953733,6.240594116502804,6.29522950406308,6.298862306883045,6.193963567824827,6.311604919210445,6.331393767947778,6.244560148885459,6.291176488305516,6.2586682220742595,6.211103705511212,6.241649189721616,6.194567099954107,6.326301501465379,6.345090276714924,65
28,0.0,8.325825157734057,8.06706768437731,7.9235008963778455,8.584219646770833,8.089199838745321,8.289086458713328,8.224913734656695,8.019364434955929,8.041565313265963,8.327784445829108,8.04568469061566,8.041869428632916,8.241716538692119,8.16521519866912,8.306437652451358,8.236520565460426,8.317880135110212,8.196688713713602,7.9150371347768,7.465516402817721,7.850009838895512,5
29,0.0,2.994788961034932,3.547210545340752,2.7377799469301154,7.399353436361129,2.857132367494843,7.285962841947147,3.10385824740317,2.9286114850075613,3.0136931149360806,2.661086763257796,3.010358648908313,2.9490335547861655,2.948394529898422,2.6612504373373707,3.04248026933423,2.822269422808431,3.0042908321034423,2.769549904131046,2.8109202422413957,2.826990311433082,2.8318717222923566,24
30,0.0,5.241745571433834,5.242133972514826,5.215999275696901,8.352742247023913,5.847143506167365,7.1600820558006095,5.136601624664386,5.303876014358701,5.163067228139942,5.152097077894829,5.377771829487411,5.494950052496606,5.21174618206109,5.249256183165353,5.21163795691391,5.196084563978822,5.2391850436433245,5.598856948349893,5.18922781082007,5.440942316564503,5.568286311930248,58
31,0.0,10.908827017950346,10.47132803093552,9.690035621233337,11.812424994103603,11.548022791086867,9.754761138756132,10.680340648550228,10.611814780245528,10.652848397147624,10.655727784825372,10.749750740463872,10.59022526562788,10.766254913436658,10.802219833462129,10.833990670437158,10.821212759190056,10.89726930140438,10.815993238764085,10.648831121144578,10.852011993522085,10.714103625508276,59
32,0.0,4.930604300063918,5.064903675714898,4.929057711152141,8.484914064951663,4.9827218730683995,7.495666635853848,4.924382029669609,4.929169426358224,4.905385118775069,4.8291349277207445,4.889012324247505,4.953643555652704,4.907467916466332,4.919522326290597,4.8678582064255504,4.96022471040034,4.931120201106766,4.963854259594234,4.774395143427966,4.642980404814751,4.781764610508999,33
