,LCTN_ID,LCTN_NM,Region,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Count
0,1A01P,Yellowhead Lake,Northern BC,3.22,3.42,3.29,5.2,3.41,5.4,3.29,3.33,3.29,3.24,3.34,3.34,3.31,3.23,3.23,3.26,3.23,3.33,3.26,3.52,3.36,88
1,1A02P,McBride Upper,Northern BC,6.91,6.57,7.09,7.28,7.37,6.74,6.79,6.74,6.7,6.75,6.56,6.49,6.95,6.93,6.86,6.96,6.9,6.8,6.65,6.64,6.35,33
2,1A03P,Barkerville,Northern BC,3.26,3.17,3.15,4.36,3.45,4.57,3.32,3.33,3.28,3.31,3.44,3.29,3.39,3.4,3.32,3.43,3.25,3.36,3.17,3.22,3.38,59
3,1A05P,Longworth Upper,Northern BC,2.96,3.56,2.9,4.48,2.92,6.74,3.13,3.15,3.05,3.12,3.27,2.98,2.89,2.92,2.95,2.95,2.97,2.9,3.2,3.14,3.13,40
5,1A14P,Hedrick Lake,Northern BC,4.07,3.96,3.97,4.89,4.43,5.05,4.01,3.98,4.06,3.95,3.94,3.97,4.07,4.02,4.09,4.07,4.07,4.06,4.0,3.65,3.87,74
6,1A15P,Knudsen Lake,Northern BC,3.69,3.95,3.92,4.89,3.76,5.98,3.74,3.83,3.75,3.69,3.83,4.12,3.71,3.76,3.68,3.75,3.7,3.73,3.75,3.98,3.89,45
7,1A17P,Revolution Creek,Northern BC,3.05,3.28,3.21,5.15,3.2,5.37,3.09,3.09,3.08,3.06,3.05,3.11,3.08,3.06,3.07,3.06,3.05,3.09,3.19,3.32,3.21,121
8,1A19P,Dome Mountain,Northern BC,3.13,3.12,3.11,5.08,3.64,5.25,3.12,2.96,3.05,3.17,3.03,3.13,3.13,3.22,3.13,3.21,3.13,3.14,3.06,3.06,3.08,82
14,1C14P,Bralorne,Coast Range,7.43,6.39,4.25,6.58,6.77,3.89,6.92,6.32,6.52,6.38,6.01,5.7,6.18,7.64,7.01,7.54,7.41,7.43,6.87,5.69,4.55,3
16,1C20P,Boss Mountain Mine,Northern BC,3.4,3.73,3.62,5.57,3.76,6.23,3.39,3.38,3.44,3.4,3.4,3.44,3.46,3.21,3.39,3.3,3.41,3.41,3.44,3.44,3.57,104
17,1C29P,Shovelnose Mountain,Northern BC,10.05,9.79,8.26,12.43,10.05,8.82,9.74,9.44,9.53,9.55,9.56,9.54,9.81,10.06,9.9,10.12,10.04,10.24,9.56,9.36,9.63,8
18,1C32P,Deadman River,Northern BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,1C41P,Yanks Peak,Northern BC,3.03,3.37,3.23,4.71,3.19,5.76,3.05,3.01,3.06,3.04,3.13,3.04,3.02,2.91,3.05,2.94,3.04,3.07,3.07,3.1,3.08,141
22,1D06P,Tenquille Lake,Coast Range,7.14,7.12,7.48,8.75,7.73,7.57,7.17,7.2,7.17,7.2,7.32,7.4,7.19,7.14,7.19,7.12,7.14,7.14,7.13,7.55,7.43,59
29,1D17P,Chilliwack River,Northern BC,6.01,5.83,5.88,9.5,7.09,6.45,5.99,5.79,5.94,6.01,5.74,5.92,5.86,5.81,5.91,5.87,6.01,5.7,5.91,5.87,5.66,121
30,1D18P,Disappointment Lake,Coast Range,4.21,4.65,4.0,4.58,3.83,7.76,3.71,3.48,3.69,3.77,3.41,3.29,3.72,3.84,3.77,3.9,4.21,3.87,4.32,3.43,3.29,78
31,1D19P,Spuzzum,Northern BC,4.22,4.37,4.28,4.84,4.42,6.45,4.06,4.19,4.05,4.11,4.15,4.12,4.1,4.18,4.11,4.25,4.22,4.25,4.24,4.16,4.05,105
32,1E02P,Mount Cook,Northern BC,3.05,3.39,3.17,5.02,3.3,5.89,3.06,3.1,3.11,3.04,3.13,3.15,3.05,3.06,3.04,3.03,3.06,3.05,3.18,3.2,3.11,147
33,1E08P,Azure River,Northern BC,5.44,5.36,5.77,6.89,5.71,6.4,5.3,5.37,5.27,5.34,5.33,5.3,5.35,5.45,5.33,5.43,5.44,5.41,5.37,5.37,5.37,107
34,1E10P,Kostal Lake,Northern BC,2.54,2.96,2.53,5.02,3.47,6.01,2.58,2.6,2.63,2.59,2.6,2.72,2.59,2.47,2.6,2.45,2.55,2.53,2.67,2.9,2.78,55
36,1E14P,Cook Creek,Northern BC,5.49,5.51,5.82,5.97,6.57,6.62,5.41,5.44,5.46,5.4,5.5,5.37,5.4,5.43,5.43,5.44,5.49,5.49,5.47,5.31,5.36,65
37,1F03P,Park Mountain,Northern BC,3.26,3.5,3.37,6.76,4.07,6.23,3.16,3.26,3.2,3.14,3.28,3.38,3.13,3.2,3.19,3.19,3.27,3.39,3.27,3.27,3.38,58
38,1F04P,Enderby,Northern BC,3.97,4.26,3.95,7.03,3.62,6.79,3.84,3.73,3.88,3.82,3.69,3.7,3.77,3.79,3.82,3.85,3.98,3.82,3.93,3.58,3.6,33
40,1F06P,Celista,Northern BC,3.25,3.58,3.34,4.34,3.5,6.14,3.22,3.2,3.24,3.18,3.25,3.19,3.19,3.07,3.19,3.11,3.26,3.19,3.28,3.27,3.19,118
