,LCTN_ID,LCTN_NM,Region,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Count
0,1A01P,Yellowhead Lake,Northern BC,4.17,4.2,4.15,6.57,4.53,6.26,4.12,4.18,4.16,4.1,4.21,4.16,4.18,4.1,4.09,4.13,4.17,4.16,4.1,4.41,4.2,88
1,1A02P,McBride Upper,Northern BC,10.96,10.41,9.02,9.71,11.03,9.14,10.77,10.79,10.75,10.78,10.57,10.44,10.86,10.93,10.88,11.01,10.95,10.77,10.49,10.43,10.38,33
2,1A03P,Barkerville,Northern BC,4.38,4.07,4.0,5.55,4.68,5.32,4.38,4.37,4.27,4.35,4.58,4.3,4.44,4.46,4.41,4.51,4.37,4.46,4.13,4.29,4.49,59
3,1A05P,Longworth Upper,Northern BC,4.84,5.07,4.8,6.21,5.02,7.6,4.87,4.82,4.69,4.77,4.92,4.7,4.7,4.74,4.8,4.75,4.84,4.8,4.88,4.6,4.73,40
5,1A14P,Hedrick Lake,Northern BC,5.82,5.49,5.35,5.94,5.97,6.04,5.73,5.67,5.76,5.66,5.76,5.55,5.77,5.69,5.89,5.81,5.81,5.77,5.53,4.93,5.56,74
6,1A15P,Knudsen Lake,Northern BC,5.43,5.35,5.35,6.25,5.25,6.86,5.34,5.4,5.35,5.28,5.39,5.57,5.36,5.38,5.33,5.43,5.42,5.45,5.25,5.42,5.37,45
7,1A17P,Revolution Creek,Northern BC,4.43,4.38,4.37,6.25,4.69,6.15,4.34,4.31,4.29,4.33,4.23,4.25,4.39,4.39,4.37,4.43,4.42,4.4,4.4,4.4,4.33,121
8,1A19P,Dome Mountain,Northern BC,4.26,4.2,4.19,6.37,4.65,6.07,4.24,4.05,4.17,4.27,4.12,4.24,4.26,4.31,4.24,4.29,4.26,4.26,4.12,4.14,4.21,82
14,1C14P,Bralorne,Coast Range,8.77,7.91,4.66,7.1,8.66,5.28,8.63,7.71,8.15,8.16,7.99,6.55,7.92,8.89,8.76,8.89,8.75,8.77,8.35,7.12,6.07,3
16,1C20P,Boss Mountain Mine,Northern BC,5.82,5.79,5.78,8.0,6.42,7.33,5.79,5.73,5.77,5.8,5.71,5.7,5.88,5.68,5.77,5.77,5.82,5.84,5.67,5.76,5.81,104
17,1C29P,Shovelnose Mountain,Northern BC,12.95,12.3,9.85,14.38,13.37,10.43,12.81,12.47,12.54,12.54,12.41,12.19,12.99,12.97,12.98,13.06,12.93,13.48,12.43,11.96,12.49,8
18,1C32P,Deadman River,Northern BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,1C41P,Yanks Peak,Northern BC,4.48,4.46,4.44,5.78,4.73,6.43,4.43,4.36,4.36,4.44,4.44,4.38,4.47,4.28,4.45,4.36,4.48,4.58,4.28,4.33,4.38,141
22,1D06P,Tenquille Lake,Coast Range,10.91,10.47,9.69,11.81,11.55,9.75,10.68,10.61,10.65,10.66,10.75,10.59,10.77,10.8,10.83,10.82,10.9,10.82,10.65,10.85,10.71,59
29,1D17P,Chilliwack River,Northern BC,9.27,8.91,8.52,12.56,10.51,8.72,9.2,9.1,9.2,9.33,8.96,8.93,8.94,8.83,9.03,9.0,9.26,8.66,9.19,8.89,8.65,121
30,1D18P,Disappointment Lake,Coast Range,6.08,6.29,6.04,6.98,6.26,8.61,5.88,5.81,5.89,5.94,5.69,5.64,5.94,5.97,5.89,6.02,6.08,6.06,6.18,5.63,5.54,78
31,1D19P,Spuzzum,Northern BC,5.43,5.44,5.41,6.4,5.92,7.31,5.34,5.52,5.31,5.34,5.48,5.63,5.38,5.44,5.41,5.48,5.42,5.62,5.38,5.54,5.42,105
32,1E02P,Mount Cook,Northern BC,4.77,4.8,4.75,6.54,4.75,6.78,4.74,4.74,4.74,4.71,4.75,4.76,4.75,4.75,4.74,4.74,4.76,4.76,4.69,4.8,4.73,147
33,1E08P,Azure River,Northern BC,8.37,7.99,7.61,9.12,8.43,7.76,8.11,8.12,8.08,8.17,8.08,7.98,8.18,8.23,8.17,8.25,8.36,8.23,8.14,8.11,8.1,107
34,1E10P,Kostal Lake,Northern BC,3.38,3.63,3.36,5.91,5.1,6.53,3.39,3.41,3.4,3.39,3.4,3.51,3.43,3.32,3.41,3.3,3.38,3.37,3.45,3.68,3.56,55
36,1E14P,Cook Creek,Northern BC,7.84,7.52,7.29,7.92,8.62,7.68,7.65,7.58,7.66,7.66,7.63,7.56,7.7,7.75,7.71,7.79,7.84,7.81,7.61,7.43,7.52,65
37,1F03P,Park Mountain,Northern BC,5.24,5.24,5.22,8.35,5.85,7.16,5.14,5.3,5.16,5.15,5.38,5.49,5.21,5.25,5.21,5.2,5.24,5.6,5.19,5.44,5.57,58
38,1F04P,Enderby,Northern BC,4.93,5.06,4.93,8.48,4.98,7.5,4.92,4.93,4.91,4.83,4.89,4.95,4.91,4.92,4.87,4.96,4.93,4.96,4.77,4.64,4.78,33
40,1F06P,Celista,Northern BC,4.63,4.68,4.62,5.38,4.89,6.86,4.6,4.52,4.57,4.55,4.53,4.53,4.64,4.42,4.59,4.5,4.63,4.66,4.45,4.53,4.53,118
